type,t_start_sec,t_end_sec,duration_sec
inhale,0.02,0.16,0.14
inhale,1.94,2.62,0.6800000000000002
inhale,3.2600000000000002,3.4,0.13999999999999968
inhale,4.22,4.34,0.1200000000000001
inhale,4.7,4.94,0.2400000000000002
inhale,6.640000000000001,7.7,1.0599999999999996
inhale,8.76,8.96,0.20000000000000107
inhale,9.3,9.88,0.5800000000000001
inhale,10.42,10.700000000000001,0.28000000000000114
inhale,12.14,12.700000000000001,0.5600000000000005
inhale,14.18,14.34,0.16000000000000014
inhale,14.82,17.240000000000002,2.4200000000000017
inhale,18.32,18.52,0.1999999999999993
inhale,24.2,24.36,0.16000000000000014
inhale,25.38,25.48,0.10000000000000142
inhale,25.76,25.96,0.1999999999999993
inhale,27.3,27.5,0.1999999999999993
inhale,28.84,28.96,0.120000000000001
inhale,29.94,30.1,0.16000000000000014
inhale,30.66,30.82,0.16000000000000014
inhale,31.28,31.5,0.21999999999999886
inhale,34.2,34.44,0.23999999999999488
inhale,42.68,42.78,0.10000000000000142
inhale,47.46,47.62,0.1599999999999966
inhale,49.84,49.96,0.11999999999999744
inhale,53.6,54.14,0.5399999999999991
inhale,55.7,55.84,0.14000000000000057
inhale,56.300000000000004,56.54,0.23999999999999488
inhale,56.9,57.1,0.20000000000000284
inhale,58.46,58.84,0.38000000000000256
exhale,0.16,0.6,0.43999999999999995
exhale,2.62,2.98,0.3599999999999999
exhale,3.4,3.54,0.14000000000000012
exhale,4.34,4.48,0.14000000000000057
exhale,4.94,5.92,0.9799999999999995
exhale,7.7,8.64,0.9400000000000004
exhale,8.96,9.16,0.1999999999999993
exhale,9.88,10.08,0.1999999999999993
exhale,10.700000000000001,11.36,0.6599999999999984
exhale,12.700000000000001,14.120000000000001,1.42
exhale,14.34,14.46,0.120000000000001
exhale,17.240000000000002,18.3,1.0599999999999987
exhale,18.52,18.98,0.46000000000000085
exhale,24.36,24.8,0.4400000000000013
exhale,25.14,25.240000000000002,0.10000000000000142
exhale,25.48,25.6,0.120000000000001
exhale,25.96,26.16,0.1999999999999993
exhale,27.5,27.740000000000002,0.240000000000002
exhale,28.96,29.34,0.379999999999999
exhale,30.1,30.46,0.35999999999999943
exhale,30.82,30.96,0.14000000000000057
exhale,31.5,32.06,0.5600000000000023
exhale,34.44,34.6,0.1600000000000037
exhale,45.62,45.78,0.1600000000000037
exhale,47.62,47.78,0.1600000000000037
exhale,49.96,50.22,0.259999999999998
exhale,54.14,54.52,0.38000000000000256
exhale,55.84,56.0,0.1599999999999966
exhale,56.54,56.7,0.1600000000000037
exhale,57.1,57.44,0.3399999999999963
exhale,58.84,59.06,0.21999999999999886
wheeze_candidate,4.992,5.248,0.2560000000000002
wheeze_candidate,7.68,8.192,0.5120000000000005
wheeze_candidate,8.32,8.704,0.38400000000000034
wheeze_candidate,9.472,9.728,0.2560000000000002
wheeze_candidate,9.856,10.24,0.38400000000000034
wheeze_candidate,12.416,13.184,0.7679999999999989
wheeze_candidate,25.728,25.984,0.2560000000000002
wheeze_candidate,29.056,29.312,0.2560000000000002
wheeze_candidate,34.048,34.688,0.6400000000000006
wheeze_candidate,39.936,40.32,0.38400000000000034
wheeze_candidate,51.84,52.096,0.2559999999999931
wheeze_candidate,52.864,53.12,0.2560000000000002
