time_sec,spectral_centroid_hz,spectral_bandwidth_hz,spectral_flatness,spectral_rolloff_hz,spectral_peakiness,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,rms_env,wheeze_candidate
0.128,418.11848975075014,267.54693747607257,0.02959276713373277,652.34375,0.06250050632367342,-166.03518031953917,8.658580144414312,-3.9940300679783274,-0.673922545679446,-1.8345367830942116,-3.21173048099777,-4.647323468666984,-2.598743232945329,-1.9745465601301282,-4.09441041427564,-2.3680244940419746,0.10900332102753195,1.1329597763582138,0.0033759232876556257,0
0.256,210.54165028472977,163.96443133665886,0.015180362459768853,308.59375,0.07837682364500174,-166.5050306697331,12.1740859746469,-1.2268984086819226,-2.450133153904723,-1.8321780572305408,-4.122260048400637,-6.235330020276901,-3.4850333041721404,-2.4913410767666,-2.7527931945731208,-2.8949104010061317,-1.773641961770453,-0.641753720352868,0.003127301504303302,0
0.384,166.9487939783753,99.40289259024564,0.009444138852820113,218.75,0.12122117298686755,-171.3900602069496,11.991644015844464,3.175381167252824,-2.287267267064122,-4.445856312565914,-3.8775884034734407,-3.9896383618046416,-3.4502658930305143,-3.0562498768561257,-2.70354023866362,-1.8266410773558057,-1.4251172621406236,-0.9466697676332043,0.0027561004938823834,0
0.512,210.74343043943477,221.1269951373323,0.025782402008966556,261.71875,0.09931052565548137,-169.55279988940967,9.58957152070174,2.9909451023341185,-1.1698329975657606,-5.716546924794604,-3.7902459423068975,-3.562713478460713,-1.6103399399298592,-3.7223214312922703,-3.364721747426688,-2.5195158087717098,-1.8167393887009142,-0.10601798361723536,0.0023737946358908498,0
0.64,160.99389653270973,103.86242000641198,0.011066618989917777,226.5625,0.10629670674989136,-173.70799347554822,10.362344440578857,3.6721501863545107,-1.0952277065786267,-3.303745653319756,-3.422357336481247,-3.425866935171066,-3.032749009594185,-2.8338448111882126,-2.143029807864629,-1.9439593724758262,-2.284697349385277,-2.283624428172719,0.0017703388252162506,0
0.768,213.73327281223644,214.5178588913197,0.03338431880794211,269.53125,0.14025740610042475,-173.79717533595368,8.091426257359307,1.7067439480997226,-0.7801153022328244,-2.483048543351198,-3.0526795735982244,-4.872179264777815,-2.679004586896499,-1.2510193977795887,-1.9305390585631286,-2.0155411026181334,-1.7647294573697436,-0.14322892984163277,0.0016930940827088695,0
0.896,185.7626116495168,163.2971202890525,0.019635110234689408,218.75,0.0774252312954585,-173.82676145133942,9.141543020557425,2.7986370421750144,-0.6661964137261955,-1.996985151504568,-2.57240395363466,-4.191744399892645,-3.6921713366363513,-3.313403823359804,-2.410344991472651,-1.7324181096182114,-0.757906375705964,-0.19058889110384034,0.0013887020759284496,0
1.024,169.52989841990262,143.13289341261964,0.022116867933334103,214.84375,0.0988408189290957,-176.76495999560353,7.5405117894019,3.617740429598933,0.0229908636314603,-2.747258296351564,-3.1937118699818043,-3.4253902927124376,-2.796867784363,-2.32584656619069,-1.880330240720558,-1.5350780980394254,-1.4170450748925105,-0.7713688560233358,0.0013751561354313577,0
1.152,223.37208514488373,199.74518463528193,0.03989483999920426,296.875,0.07687379395719209,-174.58827063658043,8.3253138628132,2.286314437714307,-1.786502772247414,-3.3023252998727672,-2.221156348349642,-3.03771035504833,-2.8488279424015888,-2.1662279942221128,-1.496816704473343,-0.7162484656176344,-0.7999174990270278,-1.0612660344337033,0.0017256940182830602,0
1.28,239.77935128458805,201.84984968338807,0.02500049146326049,371.09375,0.05332300413118462,-172.60781468131069,8.814549984352027,1.1283683783933507,-1.1583247003805144,-2.9489037316391973,-3.0879452828418277,-4.535299945047142,-4.33175049014447,-2.174842629407914,-0.9402302942047962,-1.1254457461215037,-0.7922509646879597,-0.08302436976567565,0.0019394231993438938,0
