time_sec,spectral_centroid_hz,spectral_bandwidth_hz,spectral_flatness,spectral_rolloff_hz,spectral_peakiness,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,rms_env,wheeze_candidate
0.128,219.96932103769333,74.1081861009371,0.0006620456417337317,273.4375,0.21693001311312507,-150.6759898921763,21.867302231005254,-6.720837238158655,-8.27113330002612,-7.263692395757985,-8.494960370162644,-6.873915471724938,-3.942782505019405,-3.9341439297433607,-2.4793793397986406,-0.26098450792103517,-2.064354386092904,-2.2336097877226244,0.020045382077140468,1
0.256,271.9815362153569,158.0760818717824,0.010108178579927019,421.875,0.054533994588450437,-155.3783660967822,17.22248657181243,-6.885832534844771,-5.999007262164218,-4.8036183275817415,-4.385582155221624,-3.8305471438733676,-3.5794117843242974,-3.366743395114658,-2.858418008763579,-2.127454682280936,-2.496677567032919,-1.5257969986278872,0.023886177529181752,0
0.384,254.18772133769176,106.90112475997039,0.0020365418515733502,378.90625,0.06360944818602608,-148.18554070091642,22.92272384333127,-6.8302258498198505,-9.359875264467199,-8.236830163464347,-5.335821075924073,-4.28554514444468,-4.856297094849935,-5.36497431152795,-4.485597996392953,-1.9263179742075598,-0.6658252773812132,-0.2785446301446779,0.030412161084158076,0
0.512,237.7848076127055,96.13338713012807,0.0014296102676346798,312.5,0.17526879417326463,-149.59195332684845,22.373254982261503,-7.432985737819612,-10.050447258904804,-7.263253969134055,-5.659407003313305,-5.33154712997543,-3.516197605514981,-3.568653122565465,-2.950468867773166,-1.7169094124825932,-1.808814019342595,-0.11881432597068566,0.026015939403857505,1
0.64,209.60569852224762,65.49229379349684,0.001267997915423393,207.03125,0.4153620879130882,-154.2920693674095,20.062927975965692,-5.03545750342857,-8.441969543586456,-7.15933086690224,-5.392041691524376,-5.712700944206066,-4.939315846442279,-4.109601310201607,-2.6938214996266137,-0.5116246502441915,-1.0313113555970324,-0.3753066970435151,0.021209689123289924,1
0.768,280.28162256755905,184.79913676109913,0.0026898360772484925,632.8125,0.269959680338801,-152.93731990636275,17.494840718160297,-8.55895298683944,-6.2902948860896535,-3.120577036526059,-4.963351454560403,-7.047948663712097,-5.612712866722852,-3.7352766776787183,-3.332101227429669,-3.5113688859024097,-1.3127522371115545,1.8059284624176406,0.021947617882064407,1
0.896,215.36987544786516,119.9806527286263,0.0024141691112555493,335.9375,0.06127699996170259,-150.76848864818743,22.003423775034783,-6.774417112417329,-9.479617430207071,-6.620359310362424,-4.298671188078041,-5.003314597922542,-6.325929957573557,-5.061788651112192,-3.5177525653057966,-3.123594664788359,-2.1884065587273858,-1.2616346136519172,0.020695494221789495,0
1.024,291.23852070015903,192.37638466730755,0.0028389387301377706,667.96875,0.08512242077944356,-150.6559120033197,20.06523405547606,-8.170159038744988,-8.31112937683265,-5.767560265602473,-5.37468231938945,-6.387201584440917,-5.129164715599101,-3.52911298887196,-2.8074961124874633,-2.775685250901282,-1.1935370415237725,0.9954813369454878,0.013340778515807217,0
1.152,287.8814795534478,198.77844192799134,0.010743397096847442,464.84375,0.056234361867091895,-154.60495992647685,17.490261857188813,-5.677067098517696,-3.5325245849832596,-2.5419140182312887,-3.577652550040158,-4.399866509552426,-3.7809935564638786,-4.68660851636797,-4.085918665614461,-1.470424082709898,-0.792201875204353,-1.6134020582296957,0.009458372262971741,0
1.28,272.4444079884062,148.88661831411514,0.009922126756542323,371.09375,0.050439771064519974,-154.4531010814621,18.058399177093406,-6.637521769707279,-6.132811824287304,-4.527577169151792,-4.389361724301708,-4.223019052485952,-3.0982254197362344,-2.898810467818846,-2.5903151686229173,-2.108430234445289,-3.1414059435202732,-2.955931677380845,0.010762955328183514,0
1.408,252.08671331411975,142.7230677473345,0.007838727730927931,375.0,0.047811646016037226,-153.7582900990423,19.23788634812103,-6.373289942549204,-6.368760719516754,-4.1068584383380635,-4.716376492272082,-5.323273975899092,-3.81431169388759,-2.9739026638802395,-2.3017155327864742,-1.7949341572924609,-2.479490201869474,-1.5541914776833488,0.020435100687401613,0
1.536,264.7869444632518,105.4900783007868,0.002950081649857924,320.3125,0.06567447620704421,-150.66405423308584,20.4191973676359,-8.609341183152589,-8.352415725025466,-5.508787754633729,-6.691585301004903,-5.886760569156163,-3.0218091695589626,-3.150245978777102,-2.0571689161653013,0.09011531890049876,0.01725419538104226,-0.43530143328752696,0.036688971146941175,0
1.664,256.64583888166936,98.52139103385535,0.0011212213880896719,273.4375,0.1981483196653491,-146.9020688472035,22.790390650031714,-9.959005885161591,-9.616882497891652,-5.275548499409023,-7.459798148409745,-8.62295910906872,-3.828643638657658,-1.6787225171489093,-2.7170222705304807,-1.8457562974272683,-0.9296570392082356,-0.9433760666839865,0.033620522703443276,1
1.792,237.46229186367302,88.665273661989,0.0014582481534324058,273.4375,0.10366481014044729,-152.0471524592818,21.542655136128573,-6.722411915857474,-9.596670076963955,-6.4602595184602265,-6.527525962976513,-7.208825771571622,-4.383844310246447,-2.602369798729985,-1.9353231246645497,-1.408943105188821,-2.4182433221587862,-1.8774306581013074,0.015576215620551788,0
1.92,300.7904539512822,203.7146102942913,0.017730988946565024,648.4375,0.0511681323522618,-151.04765343813742,16.49765321703873,-6.5481249382612425,-5.565922680503888,-4.338730723434066,-4.118095529601786,-6.418367543134842,-3.766865228463614,-2.448185875821558,-2.7919132913547045,-4.44064046278975,-1.6590416872734741,-0.21136514789820907,0.024283159258110178,0
2.048,270.49773807868996,107.61537222830101,0.002234563404172112,359.375,0.11112787273358302,-148.32597127468972,22.231765850321786,-8.33007782981796,-10.95815549906645,-7.069761347614564,-3.980560003439479,-5.84464060151025,-5.571724238216197,-3.672789518057758,-2.474504093857803,-1.7467755168391783,-1.6085889459191174,-1.1384021144719156,0.030153203595961842,0
2.176,227.99532316771555,92.09723037021351,0.0015138319751818881,308.59375,0.15506789114221867,-149.46023674555187,22.73043459699719,-7.3799365101059085,-10.397661363420575,-6.9052738933342015,-5.230304934593432,-6.5694871987673515,-5.5590249521846715,-3.9247531282458006,-3.69799186513659,-2.5765439100933403,-0.2878006798615341,0.6061727864322141,0.03098764664360455,1
2.304,211.65619368886232,98.22725451835404,0.001035709501496859,289.0625,0.1912734116942609,-149.8195216287424,24.575687635061016,-5.239533465228818,-10.705289682705509,-7.129482250380721,-4.483063638899601,-5.761184467028789,-6.1970189435539975,-5.266646007095967,-3.073873647044562,-1.5707457206709652,-2.404312023833464,-2.2111318096840495,0.02341077673648087,1
2.432,193.6482790859531,87.41262762772452,0.0016184253784575203,191.40625,0.3192548624085183,-155.9489725419577,18.67571343135046,-5.129818744578644,-6.834571712931611,-5.384247435958184,-5.71433712454618,-6.298957729847735,-5.1966345888502,-4.6667333005143234,-3.5178220125359307,-1.3263587210002477,-0.7869439495112991,-0.21903404638970392,0.016592422500252724,1
2.56,197.99458252741468,102.5753178364791,0.00227304205640673,312.5,0.09554914378980316,-155.41161037154617,19.552128440168584,-5.0690781907432925,-7.766422597557954,-5.561948505741463,-4.93870742888609,-6.034093364778018,-4.693951077176522,-4.242777817664585,-4.337488261936164,-2.142069517327256,-1.7754801081906253,-1.5010049711602265,0.010257018264383078,0
2.688,211.4780148067101,159.97322143693853,0.012505995563953282,300.78125,0.06666963836613124,-160.24795082465675,15.669953384652558,-3.3614071926556006,-2.754352543969223,-2.010062414547189,-4.313843025154862,-5.242271606087937,-3.7014998900054574,-4.018789453552731,-3.7004630941807166,-1.3751714589163497,-0.9970833349366505,-1.302462378334146,0.009667761144893509,0
2.816,231.24903834744754,120.26149612878639,0.00580269818973025,343.75,0.07278481929722207,-155.74614507888836,19.77059763966541,-4.123435725435752,-6.629980091765422,-4.553064383965143,-4.09219589668968,-4.6800105806137395,-3.535580229934429,-3.4385841268340687,-3.5096410404457945,-1.5824476825216276,-1.722238225004738,-2.2977372331229557,0.012317515590361185,0
2.944,235.27755390799305,91.58035004209817,0.0037704463203337584,308.59375,0.07331934544741753,-154.84532161111002,20.242408828302615,-4.998598082447568,-8.551598530794129,-6.673609748018361,-6.172916675772562,-5.833033856831195,-3.449975152438748,-2.669971567375242,-2.4628749707871966,-1.1866397097864119,-0.8891102602920885,-1.192566417794978,0.019303302679743083,0
3.072,263.7337608700356,92.07016979107138,0.0027207147961477835,289.0625,0.09481544409659647,-152.63509117359072,20.133360319484503,-7.828260402187729,-8.70094091550488,-5.308505237943599,-6.294260686570629,-6.409580501582876,-3.1511530525486497,-2.4246361734484987,-2.2521682676978103,0.1466056790502489,0.023068705358155625,-1.9003654062788728,0.030480834682072907,0
3.2,294.55245927421987,87.19225090435089,0.0014204496426160243,312.5,0.19108345366816992,-148.94420363878237,22.84074614862184,-9.133600437570607,-10.932720581872042,-4.7312751544814375,-4.334441990267674,-6.171523884562896,-3.2785210626709773,-1.4449746031209179,-2.3324785794274048,-3.1359796890843983,-3.5637505172856994,-2.944950553929716,0.08846383169293404,1
3.328,290.15185247034776,57.32237741867422,0.0012968144521132627,316.40625,0.057575236613381583,-137.09127809475712,18.745823301429382,-14.21272883288733,-7.10405472853394,-12.855185475520194,-6.875596186142289,-3.6729068488115137,-1.4470024726655188,0.6241054042047306,0.4321283879260841,-1.38949018440757,-5.3726775621598435,-4.178273814157324,0.1470788781132017,0
3.456,395.4790219019804,69.73889895960549,0.0014115122162984281,460.9375,0.04932327225777918,-130.23908476207797,13.547763121454494,-21.33181255262513,-7.068258609265346,-13.313955007963296,-1.2237478538954134,2.8772547984379484,2.147183668878281,-1.850840372862192,-7.699362703255123,-5.685451256891664,-1.6656961425236143,-0.943014082059724,0.06295245630400521,0
3.584,322.9890868555051,162.48497934353784,0.007931486053888374,468.75,0.09174470353487232,-151.36149579113751,17.479351016693585,-7.705495513887719,-5.819689860818832,-6.6586009792088126,-2.8811162020192356,-3.0022426691678454,-5.2401101789924995,-4.271999259400121,-3.7721511941810326,-1.5309013418410389,0.1493125248663743,-1.627156359388803,0.028675718392644604,0
3.712,249.69663672563436,86.49525121691916,0.001394294019405981,359.375,0.09736728139443236,-148.25431097826356,23.029228086874546,-6.656147379050719,-10.650043121798376,-9.660089325690908,-4.765015167081184,-5.1363296299351315,-5.646876335765715,-3.1586970331302417,-2.692599569817304,-2.175866503038862,-0.9074752883666972,0.5607690333137514,0.03296073350523199,0
3.84,242.38532452448774,98.59236914644603,0.001714982165334673,339.84375,0.11400555942932517,-148.08448059054066,22.47761522852784,-7.3872302683340525,-9.720400729239003,-8.089922632358803,-4.449559611055626,-5.348492035343126,-6.094513030530473,-3.748081968653427,-2.49972429605804,-2.847861353608173,-1.2871605972345135,0.8878844471023123,0.03056458809546062,0
3.968,222.74045947597867,117.19474218682684,0.0017542849899350565,339.84375,0.1535765362950633,-147.72477175231023,23.230994927239394,-7.325471195072785,-10.187899273752386,-7.707079911211299,-4.5412201109699595,-5.643949373401376,-6.343831015740749,-4.689792911548877,-4.232665590110951,-3.7486906129784234,-2.032624191885365,-0.48022082780030195,0.02746741441743714,1
4.096,226.93340035162248,120.02201319226165,0.0019541883136377403,320.3125,0.15364991431415082,-150.39875182298226,21.9410790024547,-7.2669330021999095,-9.229180035088223,-5.701547448883996,-4.668815323094689,-6.432504134368818,-5.255627483206609,-3.7325009609714224,-3.710939215424077,-2.5085256573746864,-2.2293260133773147,-1.46156783325754,0.023009813949465736,1
4.224,279.26891535643693,119.87934117919556,0.0022106805295041936,386.71875,0.05559341843624172,-150.79719315566172,21.7445549081393,-7.4895442656261775,-11.259205728691937,-7.5915636354284874,-3.429320429458434,-3.881722398275712,-3.9119816363024844,-3.194612574092866,-2.88053373707237,-3.216968502160102,-3.846338878246925,-0.7658149265133591,0.01582949305219307,0
4.352,203.09475829455732,107.70223183503738,0.004111340788991617,304.6875,0.09353486817815868,-158.37469826394386,19.336537996683255,-2.059858923960025,-6.931360426076469,-5.703004812962103,-3.596983044563009,-4.058973280806814,-4.3627596996224405,-4.226844623353331,-3.50705276163968,-2.3713045009433227,-2.6447812390256185,-1.8583096689757,0.010495439823716878,0
