version,label,precision,recall,f1-score,support
RAW,Crackle,0.7848321891685737,0.6385714285714286,0.6955167459818623,102.0
RAW,Healthy,0.7272727272727273,0.4666666666666667,0.5327272727272727,45.0
RAW,Non-breathing,0.7792795601791143,0.8764901764901765,0.8243916858368637,389.0
RAW,Rhonchi,0.8741125541125541,0.7945054945054946,0.8253439153439153,67.0
RAW,Wheezing,0.7882639862864267,0.6996666666666667,0.7290816326530611,123.0
RAW,accuracy,0.7796410014170997,0.7796410014170997,0.7796410014170997,3.8982050070854983
RAW,macro avg,0.7907522034038792,0.6951800865800866,0.7214122505085951,726.0
RAW,weighted avg,0.7871371675724073,0.7796410014170997,0.7719065413572371,726.0
TAU,Crackle,0.7170042040585335,0.8428571428571429,0.7699313462379664,102.0
TAU,Healthy,0.568393175451999,0.9333333333333332,0.6986391915704678,45.0
TAU,Non-breathing,0.9477991468155402,0.6474858474858475,0.7669491795892224,389.0
TAU,Rhonchi,0.8323809523809524,0.9263736263736264,0.871945265462507,67.0
TAU,Wheezing,0.6331799676264287,0.9273333333333333,0.7499916985691708,123.0
TAU,accuracy,0.7658290033065659,0.7658290033065659,0.7658290033065659,3.8291450165328293
TAU,macro avg,0.7397514892666908,0.8554766566766567,0.7714913362858669,726.0
TAU,weighted avg,0.8273375227832892,0.7658290033065659,0.7696920396726387,726.0
