type,t_start_sec,t_end_sec,duration_sec
inhale,0.6,0.7000000000000001,0.10000000000000009
inhale,0.9400000000000001,1.22,0.2799999999999999
inhale,4.86,5.0200000000000005,0.16000000000000014
inhale,9.0,9.14,0.14000000000000057
inhale,11.14,11.28,0.1399999999999988
inhale,12.46,12.58,0.11999999999999922
inhale,13.94,14.16,0.22000000000000064
inhale,14.620000000000001,14.98,0.35999999999999943
inhale,16.04,16.36,0.3200000000000003
inhale,19.0,19.64,0.6400000000000006
inhale,19.96,20.32,0.35999999999999943
inhale,20.78,20.98,0.1999999999999993
inhale,21.72,22.32,0.6000000000000014
inhale,22.88,23.080000000000002,0.20000000000000284
inhale,23.8,23.96,0.16000000000000014
inhale,25.5,25.78,0.28000000000000114
inhale,27.900000000000002,28.1,0.1999999999999993
inhale,28.36,28.5,0.14000000000000057
inhale,28.82,28.92,0.10000000000000142
inhale,30.14,30.52,0.379999999999999
inhale,31.04,31.36,0.3200000000000003
inhale,32.64,32.8,0.1599999999999966
inhale,33.18,33.36,0.17999999999999972
inhale,35.34,35.800000000000004,0.46000000000000085
inhale,41.34,41.46,0.11999999999999744
inhale,46.28,46.4,0.11999999999999744
inhale,49.980000000000004,50.46,0.4799999999999969
inhale,50.68,50.84,0.1600000000000037
inhale,51.38,52.02,0.6400000000000006
inhale,52.84,53.02,0.17999999999999972
inhale,55.04,55.18,0.14000000000000057
inhale,56.26,56.44,0.17999999999999972
inhale,58.300000000000004,58.5,0.19999999999999574
inhale,59.160000000000004,59.34,0.17999999999999972
exhale,1.22,1.56,0.3400000000000001
exhale,1.96,2.06,0.10000000000000009
exhale,5.0200000000000005,5.16,0.13999999999999968
exhale,9.14,9.620000000000001,0.4800000000000004
exhale,11.28,11.44,0.16000000000000014
exhale,11.58,11.700000000000001,0.120000000000001
exhale,14.16,14.42,0.2599999999999998
exhale,14.98,15.16,0.17999999999999972
exhale,16.36,18.26,1.9000000000000021
exhale,19.64,19.8,0.16000000000000014
exhale,20.32,20.68,0.35999999999999943
exhale,20.98,21.2,0.21999999999999886
exhale,22.32,22.46,0.14000000000000057
exhale,23.080000000000002,23.26,0.17999999999999972
exhale,23.96,24.42,0.46000000000000085
exhale,25.78,26.18,0.3999999999999986
exhale,28.1,28.28,0.17999999999999972
exhale,28.5,28.64,0.14000000000000057
exhale,28.92,29.060000000000002,0.14000000000000057
exhale,30.52,30.78,0.26000000000000156
exhale,31.36,31.720000000000002,0.360000000000003
exhale,32.44,32.54,0.10000000000000142
exhale,32.8,32.96,0.1600000000000037
exhale,33.36,33.56,0.20000000000000284
exhale,35.800000000000004,36.12,0.3199999999999932
exhale,38.44,38.56,0.12000000000000455
exhale,38.94,39.04,0.10000000000000142
exhale,41.46,41.56,0.10000000000000142
exhale,46.4,46.54,0.14000000000000057
exhale,50.46,50.64,0.17999999999999972
exhale,50.84,50.980000000000004,0.14000000000000057
exhale,51.14,51.28,0.14000000000000057
exhale,52.02,52.800000000000004,0.7800000000000011
exhale,53.02,53.96,0.9399999999999977
exhale,55.18,55.480000000000004,0.30000000000000426
exhale,56.44,56.76,0.3200000000000003
exhale,58.5,58.74,0.240000000000002
exhale,59.34,59.52,0.17999999999999972
wheeze_candidate,0.256,0.512,0.256
wheeze_candidate,4.48,4.736,0.25599999999999934
wheeze_candidate,11.648,11.904,0.2560000000000002
wheeze_candidate,14.08,14.464,0.38400000000000034
wheeze_candidate,20.224,20.736,0.5120000000000005
wheeze_candidate,26.496,26.752,0.2560000000000002
wheeze_candidate,27.52,27.776,0.2560000000000002
wheeze_candidate,28.16,28.416,0.2560000000000002
wheeze_candidate,44.8,45.056,0.2560000000000002
wheeze_candidate,51.712,52.352,0.6399999999999935
wheeze_candidate,52.608,52.864,0.2560000000000002
wheeze_candidate,59.008,59.264,0.2560000000000002
