Cycle_ID,Representation,Algorithm,Valid_Runs,Total_Runs,Silhouette_Mean,Silhouette_Std,Calinski_Harabasz_Mean,Calinski_Harabasz_Std,Davies_Bouldin_Mean,Davies_Bouldin_Std,Stability,Quality_Score,Params,Mean_Clusters,Mean_Noise_Ratio
D1,raw_waveform_stats,hdbscan,1,7,0.4877733863687168,0.0,30.62561778693741,0.0,0.49613494897776755,0.0,1.0,0.4877733863687168,{'min_cluster_size': 3},2.0,0.3242424242424242
C4,logmel_mean,kmeans_k3,7,7,0.4621337802786129,5.551115123125783e-17,259.7780771306341,0.0,0.7734400846534121,0.0,1.0,0.4621337802786129,{'n_clusters': 3},3.0,0.0
A0,mfcc_mean,hdbscan,1,7,0.4575337375263264,0.0,15.814207561136861,0.0,0.8395482076366945,0.0,1.0,0.4575337375263264,{'min_cluster_size': 3},2.0,0.46153846153846156
D0,mfcc_mean,hdbscan,6,7,0.4737051059682362,0.0475550081685503,158.03757664697957,24.376529902229535,0.7308073724968723,0.03743433271754495,0.9524449918314497,0.4511780557844327,{'min_cluster_size': 3},5.333333333333333,0.38333333333333336
C4,mfcc_mean,hdbscan,6,7,0.47206746688067885,0.04741245461378169,173.45178405186005,31.494958763221355,0.7631199851249867,0.05268924709749746,0.9525875453862183,0.4496855895325558,{'min_cluster_size': 3},5.0,0.346969696969697
C3,mfcc_mean,hdbscan,6,7,0.4668318074895188,0.052462878949789446,165.52267592787913,30.670443932794072,0.7392048976753264,0.04463486287345059,0.9475371210502106,0.44234046688328477,{'min_cluster_size': 3},4.833333333333333,0.36464646464646466
C4,raw_waveform_stats,hdbscan,2,7,0.4191097561032603,0.0036007302197630653,42.99419459259555,4.861500841444592,0.5702839763226202,0.007053548528601183,0.996399269780237,0.4176006549390618,{'min_cluster_size': 3},2.0,0.2727272727272727
D1,mfcc_mean,hdbscan,6,7,0.4004884398872228,0.04049915924182533,120.00997112509094,31.13273848707287,0.8325920123247524,0.07386972145732855,0.9595008407581747,0.38426899478571996,{'min_cluster_size': 3},4.833333333333333,0.398989898989899
C3,mfcc_mean,kmeans_k3,7,7,0.3829823149391279,0.0,205.62746670634039,5.684341886080802e-14,1.0749067353961703,0.0,1.0,0.3829823149391279,{'n_clusters': 3},3.0,0.0
C4,mfcc_mean,kmeans_k3,7,7,0.3821243965836523,0.0023400788130254445,207.02264252843182,0.09971496442537434,1.0900221527127016,0.021112699809756098,0.9976599211869746,0.3812301953792668,{'n_clusters': 3},3.0,0.0
D0,mfcc_mean,kmeans_k3,7,7,0.3810124576513458,0.0,203.79120917221934,3.873226113849153e-14,1.0795982941389342,0.0,1.0,0.3810124576513458,{'n_clusters': 3},3.0,0.0
D1,logmel_mean,hdbscan,5,7,0.39131363397417934,0.06373921401790966,193.6090597058748,73.75690992348984,0.6835415259813217,0.1688089092933737,0.9362607859820904,0.3663716105101732,{'min_cluster_size': 3},4.0,0.4315151515151515
C3,logmel_mean,hdbscan,6,7,0.3900801913439333,0.06703348324457307,193.69267558467175,29.669174911109685,0.8580057972006244,0.1258433118465451,0.932966516755427,0.3639317573734399,{'min_cluster_size': 3},4.5,0.4318181818181818
D0,logmel_mean,hdbscan,6,7,0.3900801913439333,0.06703348324457303,193.69267558467178,29.669174911109707,0.8580057972006245,0.12584331184654501,0.932966516755427,0.3639317573734399,{'min_cluster_size': 3},4.5,0.4318181818181818
C4,logmel_mean,hdbscan,3,7,0.39097820848255943,0.07984831904676166,194.85676806793762,27.44820125912129,0.9285318337117503,0.0975024056351815,0.9201516809532383,0.35975925575131273,{'min_cluster_size': 3},5.333333333333333,0.3696969696969697
C4,mfcc_mean,kmeans_k4,7,7,0.35344191525247065,0.00042955770347391644,193.2029301161602,0.0031636071628997654,1.2028999985242004,0.0006354894699461096,0.999570442296526,0.3532900915550434,{'n_clusters': 4},4.0,0.0
C3,mfcc_mean,kmeans_k4,7,7,0.35549391329868796,0.006364029081726228,190.23970380036073,0.07387264903437829,1.1642366802301605,0.031061381090784195,0.9936359709182738,0.35323153969607846,{'n_clusters': 4},4.0,0.0
D0,mfcc_mean,kmeans_k4,7,7,0.34426292950345383,0.00042179732765362153,186.19402795603625,0.03366641447524671,1.2273422091769173,0.0026802553193981293,0.9995782026723464,0.3441177203197791,{'n_clusters': 4},4.0,0.0
A0,raw_waveform_stats,kmeans_k3,7,7,0.38208865036420697,0.10309638560588272,23.352196824931266,0.15088951349171134,0.7191187302163025,0.21053315789166005,0.8969036143941173,0.3426966915306274,{'n_clusters': 3},3.0,0.0
C4,mfcc_mean,kmeans_k5,7,7,0.33957054256401287,0.00036935593287590676,174.88320493151042,0.04192115604361611,1.3345668663880093,0.004214356788711607,0.9996306440671241,0.33944512016948697,{'n_clusters': 5},5.0,0.0
C3,mfcc_mean,kmeans_k5,7,7,0.3342728457919396,0.0007743569176878258,171.44378043425124,0.0945337754416707,1.3440516332325354,0.0040602511549425535,0.9992256430823122,0.33401399930140546,{'n_clusters': 5},5.0,0.0
A0,logmel_mean,kmeans_k5,7,7,0.33349388447987893,0.0067610267923764586,24.56018026453862,0.19009362563803514,0.9298073391678559,0.03445309627166926,0.9932389732076236,0.33123912339181677,{'n_clusters': 5},5.0,0.0
D1,mfcc_mean,kmeans_k3,7,7,0.32930836911863304,0.00018305822184743817,178.8041652531734,0.007448850885315619,1.0810028930231133,0.001583577221647449,0.9998169417781526,0.3292480865141427,{'n_clusters': 3},3.0,0.0
