Time_Range,Center_Time,CORRECT_Ground_Truth,Model_Prediction,Match_Status,Visual_Check
0.00-1.00s,0.50s,non-breathing,non-breathing,MATCH,RED under RED
2.00-3.00s,2.50s,breathing,breathing,MATCH,GREEN under GREEN
18.00-19.00s,18.50s,non-breathing,non-breathing,MATCH,RED under RED
15.00-16.00s,15.50s,breathing,breathing,MATCH,GREEN under GREEN
1.00-2.00s,1.50s,non-breathing,non-breathing,MATCH,RED under RED
26.00-27.00s,26.50s,non-breathing,non-breathing,MATCH,RED under RED
