type,t_start_sec,t_end_sec,duration_sec
inhale,0.0,0.12,0.12
inhale,1.9000000000000001,2.08,0.17999999999999994
inhale,9.74,10.040000000000001,0.3000000000000007
inhale,10.82,11.02,0.1999999999999993
inhale,11.700000000000001,11.86,0.15999999999999837
inhale,12.200000000000001,12.4,0.1999999999999993
inhale,13.42,13.58,0.16000000000000014
inhale,14.08,14.48,0.40000000000000036
inhale,15.620000000000001,15.8,0.17999999999999972
inhale,17.54,17.72,0.17999999999999972
inhale,19.12,19.3,0.17999999999999972
inhale,21.06,21.28,0.22000000000000242
inhale,22.68,22.86,0.17999999999999972
inhale,23.72,24.28,0.5600000000000023
inhale,25.52,25.72,0.1999999999999993
inhale,26.6,26.8,0.1999999999999993
inhale,28.46,28.84,0.379999999999999
inhale,29.96,30.16,0.1999999999999993
inhale,31.18,31.48,0.3000000000000007
inhale,31.86,32.12,0.259999999999998
inhale,33.56,33.78,0.21999999999999886
inhale,34.6,34.9,0.29999999999999716
inhale,35.72,36.24,0.5200000000000031
inhale,37.76,38.34,0.5800000000000054
inhale,39.04,39.32,0.28000000000000114
inhale,40.02,40.14,0.11999999999999744
inhale,40.980000000000004,41.18,0.19999999999999574
inhale,41.72,41.96,0.240000000000002
inhale,42.96,43.160000000000004,0.20000000000000284
inhale,43.86,43.96,0.10000000000000142
inhale,44.5,44.7,0.20000000000000284
inhale,45.46,45.84,0.38000000000000256
inhale,46.96,47.6,0.6400000000000006
inhale,48.94,49.1,0.1600000000000037
inhale,50.08,50.28,0.20000000000000284
inhale,51.620000000000005,51.84,0.21999999999999886
inhale,53.64,53.84,0.20000000000000284
inhale,55.58,55.76,0.17999999999999972
inhale,57.14,57.34,0.20000000000000284
inhale,58.88,59.04,0.1599999999999966
exhale,0.12,0.3,0.18
exhale,2.08,2.3000000000000003,0.2200000000000002
exhale,10.040000000000001,10.68,0.6399999999999988
exhale,11.02,11.200000000000001,0.1800000000000015
exhale,11.86,12.040000000000001,0.1800000000000015
exhale,12.4,12.64,0.2400000000000002
exhale,13.58,13.98,0.40000000000000036
exhale,14.48,14.700000000000001,0.22000000000000064
exhale,15.8,15.98,0.17999999999999972
