epoch,train_loss,val_macro_recall_raw,per_class_recall_raw,secs
1,1.666386398606603,0.10561939357743336,"[0.07142857142346938, 0.0, 0.2439024390214158, 0.21276595744228158, 0.0]",0.006273984909057617
2,1.591888272741851,0.1092519830946963,"[0.07142857142346938, 0.0, 0.21951219511927422, 0.2553191489307379, 0.0]",0.005940437316894531
3,1.4391946731259853,0.11350730224354193,"[0.07142857142346938, 0.0, 0.21951219511927422, 0.27659574467496606, 0.0]",0.007831811904907227
4,1.3280539700751852,0.09922158795884806,"[0.0, 0.0, 0.21951219511927422, 0.27659574467496606, 0.0]",0.0079193115234375
5,1.2687689869522436,0.09705686114362552,"[0.07142857142346938, 0.0, 0.1585365853639203, 0.2553191489307379, 0.0]",0.006731986999511719
6,1.228021261827001,0.1095262806696879,"[0.14285714284693876, 0.0, 0.17073170731499107, 0.23404255318650974, 0.0]",0.007787227630615234
7,1.089606510836305,0.10708725627947376,"[0.14285714284693876, 0.0, 0.1585365853639203, 0.23404255318650974, 0.0]",0.007531166076660156
8,1.1029062428564396,0.1040255022576769,"[0.14285714284693876, 0.0, 0.1219512195107079, 0.2553191489307379, 0.0]",0.008819341659545898
9,1.1146775647665583,0.10646452664789108,"[0.14285714284693876, 0.0, 0.1341463414617787, 0.2553191489307379, 0.0]",0.0075838565826416016
10,0.9830983468230756,0.1040255022576769,"[0.14285714284693876, 0.0, 0.1219512195107079, 0.2553191489307379, 0.0]",0.008001327514648438
11,0.9782112177403877,0.0991474534772486,"[0.14285714284693876, 0.0, 0.09756097560856633, 0.2553191489307379, 0.0]",0.00654149055480957
12,0.9120636014954713,0.1176884869107881,"[0.21428571427040816, 0.0, 0.09756097560856633, 0.27659574467496606, 0.0]",0.006025791168212891
13,0.927736576384582,0.1067388242228827,"[0.21428571427040816, 0.0, 0.08536585365749554, 0.23404255318650974, 0.0]",0.008162498474121094
14,0.9501074636371017,0.11676921935873093,"[0.2857142856938775, 0.0, 0.08536585365749554, 0.21276595744228158, 0.0]",0.0064182281494140625
15,0.9195237655582396,0.1125139002098853,"[0.2857142856938775, 0.0, 0.08536585365749554, 0.19148936169805345, 0.0]",0.007264852523803711
16,0.8950094080707426,0.1125139002098853,"[0.2857142856938775, 0.0, 0.08536585365749554, 0.19148936169805345, 0.0]",0.006986379623413086
17,0.8557615573573889,0.11007487581967115,"[0.2857142856938775, 0.0, 0.07317073170642474, 0.19148936169805345, 0.0]",0.006875753402709961
18,0.8826006675461757,0.10519682703924282,"[0.2857142856938775, 0.0, 0.048780487804283165, 0.19148936169805345, 0.0]",0.006987810134887695
19,0.765692296608848,0.10519682703924282,"[0.2857142856938775, 0.0, 0.048780487804283165, 0.19148936169805345, 0.0]",0.0066680908203125
20,0.8158595602876326,0.10519682703924282,"[0.2857142856938775, 0.0, 0.048780487804283165, 0.19148936169805345, 0.0]",0.008141279220581055
21,0.8212179980188046,0.09606345910996887,"[0.2857142856938775, 0.0, 0.024390243902141583, 0.17021276595382528, 0.0]",0.0065059661865234375
22,0.8068220796347891,0.09606345910996887,"[0.2857142856938775, 0.0, 0.024390243902141583, 0.17021276595382528, 0.0]",0.007963418960571289
23,0.8257291696288369,0.09606345910996887,"[0.2857142856938775, 0.0, 0.024390243902141583, 0.17021276595382528, 0.0]",0.0065004825592041016
24,0.7643308854225773,0.09606345910996887,"[0.2857142856938775, 0.0, 0.024390243902141583, 0.17021276595382528, 0.0]",0.005982398986816406
25,0.789512096097498,0.09606345910996887,"[0.2857142856938775, 0.0, 0.024390243902141583, 0.17021276595382528, 0.0]",0.008605241775512695
26,0.7531169675431162,0.09606345910996887,"[0.2857142856938775, 0.0, 0.024390243902141583, 0.17021276595382528, 0.0]",0.006449699401855469
27,0.7167632300694238,0.09606345910996887,"[0.2857142856938775, 0.0, 0.024390243902141583, 0.17021276595382528, 0.0]",0.005862236022949219
28,0.7652707607014102,0.09606345910996887,"[0.2857142856938775, 0.0, 0.024390243902141583, 0.17021276595382528, 0.0]",0.008764982223510742
29,0.7156481388093677,0.09606345910996887,"[0.2857142856938775, 0.0, 0.024390243902141583, 0.17021276595382528, 0.0]",0.007663249969482422
30,0.7726741983183048,0.09606345910996887,"[0.2857142856938775, 0.0, 0.024390243902141583, 0.17021276595382528, 0.0]",0.0066640377044677734
31,0.750516793331192,0.09606345910996887,"[0.2857142856938775, 0.0, 0.024390243902141583, 0.17021276595382528, 0.0]",0.007664680480957031
