fold,epochs,macro_recall_raw,macro_recall_tau,nb_precision_tau,per_class_recall_raw,per_class_recall_tau,taus,class_names,n_train,n_val
1,60,0.2626418026315655,0.41819735817223036,0.874999999978125,"[0.3846153845857988, 0.15384615383431952, 0.6111111111043209, 0.0, 0.16363636363338843]","[0.9230769230059171, 0.6153846153372781, 0.3888888888845679, 0.0, 0.16363636363338843]","[0.800000011920929, 0.8999999761581421, 1.7000000476837158, 1.7000000476837158, 0.8999999761581421]","[""Crackle"", ""Healthy"", ""Non-breathing"", ""Rhonchi"", ""Wheezing""]",555,171
2,60,0.4186249044851499,0.5255614972988262,0.9534883720708491,"[0.941176470532872, 0.6428571428112245, 0.5090909090816529, 0.0, 0.0]","[0.8823529411245675, 0.9999999999285715, 0.7454545454409918, 0.0, 0.0]","[1.100000023841858, 0.800000011920929, 0.699999988079071, 1.0, 1.100000023841858]","[""Crackle"", ""Healthy"", ""Non-breathing"", ""Rhonchi"", ""Wheezing""]",640,86
3,60,0.15196969696693566,0.4270454545227859,0.7872340425364419,"[0.0681818181802686, 0.0, 0.6249999999921875, 0.0, 0.06666666666222222]","[0.7727272727097108, 0.89999999991, 0.4624999999942187, 0.0, 0.0]","[0.6000000238418579, 0.699999988079071, 1.2000000476837158, 1.7999999523162842, 1.7999999523162842]","[""Crackle"", ""Healthy"", ""Non-breathing"", ""Rhonchi"", ""Wheezing""]",577,149
4,60,0.34644040495545614,0.44660015775869094,0.8124999999873046,"[0.49999999996428574, 0.124999999984375, 0.5609756097492564, 0.1499999999925, 0.3962264150868637]","[0.928571428505102, 0.124999999984375, 0.6341463414556812, 0.299999999985, 0.24528301886329656]","[0.800000011920929, 1.399999976158142, 0.8999999761581421, 1.0, 1.2000000476837158]","[""Crackle"", ""Healthy"", ""Non-breathing"", ""Rhonchi"", ""Wheezing""]",549,177
5,60,0.19810215730625585,0.3103195195956666,0.6842105263037859,"[0.35714285711734695, 0.0, 0.3780487804831945, 0.2553191489307379, 0.0]","[0.7142857142346939, 0.0, 0.4756097560917608, 0.3617021276518787, 0.0]","[0.800000011920929, 1.7999999523162842, 0.800000011920929, 0.8999999761581421, 1.7999999523162842]","[""Crackle"", ""Healthy"", ""Non-breathing"", ""Rhonchi"", ""Wheezing""]",583,143
