fold,macro_recall_raw,macro_recall_tau,nb_precision_tau,per_class_recall_raw,per_class_recall_tau,taus,class_names,n_train,n_val
1,0.24284382283388287,0.4110955710715861,0.8399999999832001,"[0.30769230766863903, 0.2307692307514793, 0.5666666666603704, 0.0, 0.10909090908892563]","[0.6923076922544379, 0.7692307691715976, 0.4666666666614815, 0.0, 0.12727272727041322]","[0.6000000238418579, 0.6000000238418579, 1.7999999523162842, 1.2999999523162842, 0.6000000238418579]","[""Crackle"", ""Healthy"", ""Non-breathing"", ""Rhonchi"", ""Wheezing""]",555,171
2,0.4370664629271337,0.5266768525320907,0.9545454545237604,"[0.941176470532872, 0.571428571387755, 0.6727272727150414, 0.0, 0.0]","[0.941176470532872, 0.928571428505102, 0.7636363636224794, 0.0, 0.0]","[1.100000023841858, 0.699999988079071, 0.8999999761581421, 1.0, 1.7000000476837158]","[""Crackle"", ""Healthy"", ""Non-breathing"", ""Rhonchi"", ""Wheezing""]",640,86
3,0.1724242424212719,0.31825757574289343,0.6989247311752803,"[0.0454545454535124, 0.0, 0.7499999999906249, 0.0, 0.06666666666222222]","[0.0454545454535124, 0.39999999996, 0.8124999999898437, 0.0, 0.3333333333111111]","[0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 1.600000023841858, 0.6000000238418579]","[""Crackle"", ""Healthy"", ""Non-breathing"", ""Rhonchi"", ""Wheezing""]",577,149
4,0.4102524488697153,0.45064262702612334,0.8181818181694215,"[0.7142857142346939, 0.0, 0.6341463414556812, 0.2499999999875, 0.45283018867070135]","[0.7857142856581633, 0.124999999984375, 0.6585365853578227, 0.2499999999875, 0.43396226414275546]","[0.800000011920929, 0.8999999761581421, 0.8999999761581421, 1.100000023841858, 1.0]","[""Crackle"", ""Healthy"", ""Non-breathing"", ""Rhonchi"", ""Wheezing""]",549,177
5,0.15736526057643102,0.30728741936450354,0.7017543859526009,"[0.35714285711734695, 0.0, 0.3658536585321237, 0.06382978723268448, 0.0]","[0.8571428570816326, 0.0, 0.4878048780428316, 0.19148936169805345, 0.0]","[0.6000000238418579, 1.7999999523162842, 0.6000000238418579, 0.8999999761581421, 1.7000000476837158]","[""Crackle"", ""Healthy"", ""Non-breathing"", ""Rhonchi"", ""Wheezing""]",583,143
