type,t_start_sec,t_end_sec,duration_sec
inhale,0.0,0.78,0.78
inhale,3.58,4.12,0.54
inhale,5.96,6.140000000000001,0.1800000000000006
inhale,12.26,12.52,0.2599999999999998
inhale,13.6,14.540000000000001,0.9400000000000013
inhale,17.14,17.32,0.17999999999999972
inhale,20.48,21.240000000000002,0.7600000000000016
inhale,30.54,31.060000000000002,0.5200000000000031
inhale,32.84,33.02,0.17999999999999972
inhale,33.4,33.62,0.21999999999999886
inhale,33.9,34.52,0.6200000000000045
inhale,35.9,36.4,0.5
inhale,37.72,37.9,0.17999999999999972
inhale,40.36,41.22,0.8599999999999994
inhale,41.56,42.160000000000004,0.6000000000000014
inhale,43.12,43.34,0.22000000000000597
inhale,43.660000000000004,43.88,0.21999999999999886
inhale,46.78,48.4,1.6199999999999974
inhale,53.72,55.84,2.1200000000000045
inhale,57.28,57.480000000000004,0.20000000000000284
inhale,58.26,58.52,0.2600000000000051
exhale,0.78,1.72,0.94
exhale,4.12,5.22,1.0999999999999996
exhale,6.140000000000001,6.66,0.5199999999999996
exhale,12.52,13.36,0.8399999999999999
exhale,14.540000000000001,14.9,0.35999999999999943
exhale,17.32,18.02,0.6999999999999993
exhale,21.240000000000002,21.88,0.639999999999997
exhale,31.060000000000002,31.94,0.879999999999999
exhale,33.02,33.3,0.27999999999999403
exhale,33.62,33.86,0.240000000000002
exhale,34.52,35.42,0.8999999999999986
exhale,36.4,36.9,0.5
exhale,37.9,39.2,1.3000000000000043
exhale,41.22,41.46,0.240000000000002
exhale,42.160000000000004,43.06,0.8999999999999986
exhale,43.34,43.58,0.23999999999999488
exhale,43.88,44.12,0.23999999999999488
exhale,48.4,48.92,0.5200000000000031
exhale,55.84,56.94,1.0999999999999943
exhale,57.480000000000004,57.86,0.37999999999999545
exhale,58.52,59.800000000000004,1.2800000000000011
wheeze_candidate,3.84,4.224,0.38400000000000034
wheeze_candidate,4.864,5.248,0.38400000000000034
wheeze_candidate,14.08,14.592,0.5120000000000005
wheeze_candidate,21.248,21.76,0.5120000000000005
wheeze_candidate,25.984,26.24,0.2559999999999967
wheeze_candidate,28.288,28.672,0.38400000000000034
wheeze_candidate,34.56,34.816,0.2560000000000002
wheeze_candidate,42.88,43.136,0.2560000000000002
wheeze_candidate,54.016,54.4,0.38400000000000034
wheeze_candidate,55.04,55.296,0.2560000000000002
wheeze_candidate,55.808,56.064,0.2560000000000002
