mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,file_path,filename
-374.24006410809744,147.81285847140163,67.92238513262468,31.600721342765635,38.24737678912158,36.64225799966502,13.257544718386892,-1.8791895113790837,3.5254462254058843,10.537937974177144,7.446944998540067,2.7103636902207118,3.223825593407931,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-2_10s-20s.wav,WEBSS-002 TP 4_seg-2_10s-20s.wav
-329.08454749500555,187.1423189251433,48.57201799535406,6.900425680981938,42.06344952572254,45.8169161419974,9.62878058780183,-2.601369323815748,12.39605668364173,12.622335210151519,-0.15388621506658606,1.0008937427334264,8.668832256024084,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-5_40s-50s.wav,WEBSS-002 TP 2_seg-5_40s-50s.wav
-351.7832618941313,144.33471764693792,62.570930392258575,25.721911618370957,34.60238839422917,36.10429549663765,14.353090976961056,-1.4268594190335897,2.460707740945949,9.139172098105231,7.245165136303974,3.5023211226260793,3.445834523271583,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-6_50s-60s.wav,WEBSS-002 TP 4_seg-6_50s-60s.wav
-460.6874887716052,99.94364476117516,57.16836405518831,31.32899291943923,26.706978157865727,22.42537287327403,10.929936301595836,3.0222128065473535,3.5456005094353427,4.939377788716875,2.5525928178502473,0.13443562480294496,0.6741482906358373,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-1_0s-10s.wav,WEBSS-002 TP 2_seg-1_0s-10s.wav
-327.3547775914295,189.81772013514825,53.974966570229796,11.922344150307683,43.25852962748353,43.53484693743151,5.881676094516244,-6.157580572678599,11.998678877838948,15.975301069201905,1.9481384222264793,-1.8542451205220156,5.461973889423163,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-7_60s-61.27s.wav,WEBSS-002 TP 4_seg-7_60s-61.27s.wav
-333.5221781511507,162.82488886910684,64.36149166267961,26.305279014111967,41.91497274695324,41.25745303270278,12.383292153523648,-2.811488634343177,5.806188521984795,11.066967074423719,4.665789867094887,1.556957076572026,4.683075638001121,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-3_20s-30s.wav,WEBSS-002 TP 4_seg-3_20s-30s.wav
-333.15697602480486,180.43005280476157,44.7889799119104,3.7604324408392658,40.43045805306861,47.96096852713702,12.77404647909301,-3.2386832340151135,8.984516201206791,10.658691464250898,-0.42052698194767996,0.49531721665192135,8.913788942708036,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-5_40s-50s.wav,WEBSS-002 TP 3_seg-5_40s-50s.wav
-334.19466749002623,182.86322105475514,43.457653530692355,1.569918834425673,41.10859746828769,51.04470471154678,14.370662012385866,-5.10710757290926,6.119928659650819,10.003943052427916,0.8094837990366393,1.1801996772214185,8.452592117814817,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-6_50s-60s.wav,WEBSS-002 TP 3_seg-6_50s-60s.wav
-336.65013356099587,181.93756732923055,52.78944874971933,12.264312231514563,41.57071098624228,42.585787753997344,9.672647594866257,0.4804416629783768,14.244245895076771,11.692717291314198,-1.9724855264678782,0.18946824424807965,9.213373637273335,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-7_60s-70s.wav,WEBSS-002 TP 2_seg-7_60s-70s.wav
-318.4365736040146,177.29690318636173,42.58680104780135,1.8518208262978118,38.67744552995403,47.37400004415248,13.059333989692146,-4.07416183150275,6.937352531042469,10.6131715144879,2.8681583094413536,3.1095525668616344,7.373944742769948,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-8_70s-79.09s.wav,WEBSS-002 TP 3_seg-8_70s-79.09s.wav
-363.34812613096165,169.7064436829793,55.94774542987349,15.044886408058613,37.13760213186526,40.186852794478305,12.705312582323996,0.4003832713808072,8.82909652205077,8.790448658734217,-0.03886451447805068,1.0432066767401598,7.319622955615806,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-1_0s-10s.wav,WEBSS-002 TP 3_seg-1_0s-10s.wav
