file_path,filename,original_filename,segment_index,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg1,KP001_WWS.wav,0,-438.0872075490173,146.16959779326456,73.97659854773252,29.942931005632232,20.761233519615878,13.925807365365628,0.05713890055973931,-5.717815448607882,-2.5502955437293786,-3.84040469939337,-10.337448060688262,-12.702124142768657,-11.323845522334807
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg2,KP001_WWS.wav,1,-426.96447821569376,126.90836718184418,71.93056218311331,33.172170511654805,19.305255081135957,11.002974418984541,0.3278968413908262,-4.757746440383794,-3.4671882397309157,-4.382709448481841,-9.194178654061353,-12.165754788953105,-12.23964599977075
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg3,KP001_WWS.wav,2,-542.4088768813767,136.84480683263124,48.92940234970543,11.10848239699777,17.07165773872048,11.369165486792271,-8.355325087517343,-10.29685094934611,0.6125639221200688,-0.9964218412847878,-10.251575358595582,-9.590395306475925,-5.417611397562981
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg1,KP011_WWS.wav,0,-384.5349550837664,230.6221098331434,31.900540743581065,-30.87304711890723,14.293213365882593,21.12783477584972,-15.556399779026892,-16.181054128051787,7.418361066545791,0.2057816589794368,-18.689050065596494,-11.103773961999996,0.20238176425439
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg2,KP011_WWS.wav,1,-388.40030802257,241.82381137305933,30.69179156580867,-33.46241514011134,16.65873073761617,23.11008232523367,-17.137337939226043,-17.139502536387237,8.717772942698423,0.4083595983803518,-20.107458585205,-11.443875342689413,0.7417557160395636
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg3,KP011_WWS.wav,2,-353.37125043128896,198.29521191427853,35.80623175067556,-21.617842186050204,10.280915301819165,17.014976030101128,-11.600895118346168,-14.346532481080796,4.001426490655222,0.10701026102259625,-15.388793055761814,-11.632200267764063,-2.325886315632234
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg1,WEBSS-005 TP6_seg-1.wav,0,-349.4124489233599,197.30385641157943,69.72391610706285,3.1942724009288326,4.820811468390572,5.832035600428348,-13.530076994662103,-20.788587890400308,-9.707701018117625,-4.57697050088132,-9.848475467889976,-11.246328909651591,-8.83386633473806
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg2,WEBSS-005 TP6_seg-1.wav,1,-364.1909584314253,192.03952292317163,64.9286349880236,0.1450515580108264,4.150944774610551,6.781988655407931,-11.76098115198823,-18.25115303575742,-6.512025086533967,-1.6125739973938844,-7.9696476633827675,-10.42752454768723,-8.508143738114669
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg3,WEBSS-005 TP6_seg-1.wav,2,-355.22091100366345,209.27657815936055,62.08610592563175,-6.267852456099681,4.807902065498111,8.42625806292037,-14.358618882635833,-21.005092048196666,-7.2257041393950665,-3.7229888453213134,-11.630172295019078,-11.544858777795548,-7.105132209865059
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS_seg1,KP008_WWS.wav,0,-374.53045849225776,188.66932379530903,50.784272910275085,2.0398108509223274,23.732349378084585,20.21789243585191,-8.201070434532678,-8.176079643060971,7.685339049277304,-0.061799006523161525,-15.582811835095331,-11.0478397895428,-4.25266258201606
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS_seg2,KP008_WWS.wav,1,-369.69495344805654,171.0553041744845,51.583001191343705,6.878736459689373,22.740702097732644,18.325218563324192,-6.612903478476611,-6.9422953132985645,6.6818539143538445,0.09093235797432908,-13.75550685065122,-10.542660514222112,-4.850587783048945
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS_seg3,KP008_WWS.wav,2,-373.83305169616074,176.43294778137528,51.180441013518276,5.90406863521517,24.152045915976228,19.74543339889978,-6.886519894335667,-7.240033960465798,7.0825760252934495,-0.26602577653624404,-14.971442016498893,-10.995586576390195,-4.298593084058317
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP009_WWS.wav,KP009_WWS_seg1,KP009_WWS.wav,0,-425.66124465136795,207.94209331932353,30.108590690959492,-25.686643208646352,14.83056242258303,19.84369226846699,-14.016566652004574,-13.950219952461993,8.441660449297956,1.880154922937024,-16.193884049314992,-9.90455263420032,0.5980308860308758
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP009_WWS.wav,KP009_WWS_seg2,KP009_WWS.wav,1,-466.1169515554594,225.89823432899948,29.364972365237637,-28.702055963040063,17.735245328201962,20.81201355249777,-17.548009940352625,-14.506030365115125,11.848179389460507,2.5842563743999087,-18.386652635002225,-9.427854765916702,3.2268457054941093
