file_path,filename,preprocessing,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP11_60sec.wav,WEBSS-006 TP11_60sec.wav,spectral_gating_-20db_4.0ratio,-576.77264,103.82333,73.47299,43.623344,24.643957,16.234789,14.049405,14.409157,14.456202,12.829704,10.525074,9.098533,8.596676
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP1_60sec.wav,WEBSS-006 TP1_60sec.wav,spectral_gating_-20db_4.0ratio,-515.0442,99.387474,69.13723,38.272926,18.437084,10.601269,9.682836,10.853078,11.640394,11.227497,9.775086,7.987013,6.507657
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP7_60sec.wav,WEBSS-006 TP7_60sec.wav,spectral_gating_-20db_4.0ratio,-501.16287,82.399284,61.95894,39.380894,21.93099,11.913167,8.683665,9.827871,11.671807,11.444733,9.115101,6.304632,4.1747355
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP10_60sec.wav,WEBSS-006 TP10_60sec.wav,spectral_gating_-20db_4.0ratio,-507.89932,80.3431,61.126423,39.949356,23.275845,12.935141,8.594128,8.725302,10.409136,10.966123,9.824504,7.887923,5.925802
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP2_60sec.wav,WEBSS-006 TP2_60sec.wav,spectral_gating_-20db_4.0ratio,-452.0626,120.16488,81.63937,42.543976,17.519943,7.675521,6.9765353,9.4796095,11.3239155,10.752238,8.282353,5.616872,3.8074267
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP4_60sec.wav,WEBSS-006 TP4_60sec.wav,spectral_gating_-20db_4.0ratio,-530.6802,85.732376,62.457375,38.658714,21.925385,13.003613,10.4028845,11.867241,13.77664,13.3291645,10.856278,8.215005,6.222183
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP9_60sec.wav,WEBSS-006 TP9_60sec.wav,spectral_gating_-20db_4.0ratio,-526.2674,72.42331,52.187305,31.106333,16.748926,10.416578,9.910475,12.124533,13.997384,13.733099,11.653367,9.1594515,7.1842203
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP3_60sec.wav,WEBSS-006 TP3_60sec.wav,spectral_gating_-20db_4.0ratio,-438.99088,41.263073,35.136726,28.420858,22.539875,17.620373,14.048031,12.191096,11.4063225,10.642197,9.563637,8.3497925,7.04681
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP12_60sec.wav,WEBSS-006 TP12_60sec.wav,spectral_gating_-20db_4.0ratio,-489.80664,88.026955,59.007214,33.097324,17.208027,7.8350763,3.3188448,4.323627,7.6704717,8.79349,7.5713778,6.3103185,5.2600107
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP5_60sec.wav,WEBSS-006 TP5_60sec.wav,spectral_gating_-20db_4.0ratio,-479.09497,95.28305,70.046776,43.198067,24.095316,14.3718195,11.231439,11.261022,11.726915,11.106412,9.450153,7.6375003,6.2409573
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP8_60sec.wav,WEBSS-006 TP8_60sec.wav,spectral_gating_-20db_4.0ratio,-495.14017,122.96841,77.27131,37.164135,18.339567,14.942463,15.472209,15.106551,13.939973,12.155163,9.910029,8.106255,7.214718
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS005_6/WEBSS-005 TP6_60sec.wav,WEBSS-005 TP6_60sec.wav,spectral_gating_-20db_4.0ratio,-442.26578,184.07545,77.59458,16.969633,13.7670765,16.08647,3.5496948,-2.6376688,4.3135276,8.272364,4.520947,2.283703,2.6961367
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS005_6/WEBSS-005 TP1_60sec.wav,WEBSS-005 TP1_60sec.wav,spectral_gating_-20db_4.0ratio,-460.06223,172.91194,88.168495,21.55407,-1.1483403,-2.4846826,-8.718852,-18.256012,-17.860815,-9.1830225,-4.9042854,-8.245987,-10.560012
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS005_6/WEBSS-005 TP4_60sec.wav,WEBSS-005 TP4_60sec.wav,spectral_gating_-20db_4.0ratio,-498.93924,147.95016,90.95379,38.181343,9.77558,1.4004465,0.8404043,1.9113897,3.5290346,4.882128,5.1472216,4.42915,3.1127071
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS005_6/WEBSS-005 TP2_60sec.wav,WEBSS-005 TP2_60sec.wav,spectral_gating_-20db_4.0ratio,-431.94324,106.98934,70.53598,36.12091,14.976464,4.389967,-0.54007727,-1.1696851,1.0744653,3.115499,3.3177507,2.4971948,1.7697642
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS005_6/WEBSS-005 TP5_60sec.wav,WEBSS-005 TP5_60sec.wav,spectral_gating_-20db_4.0ratio,-379.57642,151.62856,91.1251,40.38543,17.562311,10.369389,3.8114874,-2.0482945,-1.8265896,2.2955022,3.9693742,2.0119574,0.23081717
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS005_6/WEBSS-005 TP3_60sec.wav,WEBSS-005 TP3_60sec.wav,spectral_gating_-20db_4.0ratio,-492.9786,177.83665,75.30135,17.192675,15.460759,18.823236,5.4983892,-2.532229,4.5881457,10.046727,5.3224597,0.61839044,2.4295151
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS004_5/WEBSS-004 TP3_60sec.wav,WEBSS-004 TP3_60sec.wav,spectral_gating_-20db_4.0ratio,-524.0489,127.588974,78.961624,37.42237,18.9541,16.017488,16.240948,15.62674,15.285131,15.232622,14.160031,11.32005,7.268225
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS004_5/WEBSS-004 TP5_60sec.wav,WEBSS-004 TP5_60sec.wav,spectral_gating_-20db_4.0ratio,-525.0622,81.98661,61.68527,43.044125,31.349266,23.850628,17.8499,14.012367,12.774171,12.505773,11.767782,10.578887,9.19553
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS004_5/WEBSS-004 TP2_60sec.wav,WEBSS-004 TP2_60sec.wav,spectral_gating_-20db_4.0ratio,-534.53595,117.249016,79.5926,44.774067,25.404692,18.47676,16.56271,15.983634,15.614274,14.607695,12.750764,10.380381,7.6799955
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS004_5/WEBSS-004 TP4_60sec.wav,WEBSS-004 TP4_60sec.wav,spectral_gating_-20db_4.0ratio,-435.13763,51.871925,42.749638,34.261322,27.987604,22.586628,18.018103,15.229136,13.659597,12.005711,10.182088,8.660233,7.2141814
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS004_5/WEBSS-004 TP1_60sec.wav,WEBSS-004 TP1_60sec.wav,spectral_gating_-20db_4.0ratio,-418.0687,70.550255,42.80846,25.674278,20.44476,15.50866,10.023654,9.750216,11.917447,10.449727,7.1880198,6.44107,6.735256
