class_id,class_name,threshold
0,Crackle,7.688716537420375e-07
1,Healthy,3.969519136917348e-13
2,Non-breathing,6.260362280107848e-06
3,Rhonchi,2.401031857875731e-09
4,Wheezing,0.00013322368293541614
