file_path,filename,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS.wav,-443.95153354601223,114.8325476440392,65.83989194813533,30.763879571432636,17.53639440879299,9.46184314999339,-0.34994448337109796,-4.93607590831584,-3.6589328790162177,-4.170306446943041,-8.137983791522139,-10.68967502152465,-10.918182812677978
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS.wav,-351.6258609517313,200.1594390515389,36.423128186362405,-21.62549759656511,10.338144793301364,17.02786959101082,-11.668224177012165,-14.28628328802499,3.9848807155142647,-0.2718632371561822,-15.748928101345728,-11.605843765873605,-2.340761790965806
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1.wav,-351.07616388960344,194.35325734050423,66.47100704516356,0.5908611935441741,3.8312967875509876,6.23993387808044,-12.5838205566266,-19.65261545666282,-8.396452106954161,-3.4766062226755627,-9.332891595322764,-11.06131430355772,-8.580566801532466
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS.wav,-370.0793829496736,176.12489859421422,51.646160159720225,5.707992336222403,23.163552292727427,19.06397602331102,-6.907395393127102,-7.286691778429605,6.862476587245807,-0.130514768729473,-14.537534706399356,-10.901485828943434,-4.670837773495406
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP009_WWS.wav,KP009_WWS.wav,-433.29677171699115,202.1954278612121,32.355475047215386,-22.95355183881114,13.234424755765861,17.573720312964596,-13.511224518278748,-12.436216903330031,8.968903329825553,2.1476925660263273,-15.650519266737865,-9.65902013290907,0.7879657033136769
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP010_WWS.wav,KP010_WWS.wav,-372.29002029067505,205.47947286040218,40.93719493963508,-15.216548532133373,18.058123044098473,22.963451276289266,-7.884506048409541,-10.897850709039856,6.808117381576723,0.8903437846298317,-15.244102586219167,-10.452282224398857,-1.588379893586083
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/H004.wav,H004.wav,-618.8652919778353,220.13217701926055,40.46911365305364,-12.044376335146238,29.570632373402898,28.98529317330285,-9.975268628968198,-10.055695132592174,11.28546750525041,0.4849639536769037,-18.768922077355754,-9.563936281361967,1.3442429855335731
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-007 TP4_seg-1.wav,WEBSS-007 TP4_seg-1.wav,-454.34030104643676,137.46186476437722,48.67664366800849,5.575412514902634,9.667470384792672,11.182687407217305,-0.14316409758330148,-2.5002510775708213,1.7346076927372396,-3.766831830807694,-12.089177402679313,-9.804463411435826,-5.0544234292986285
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP003_WWS_2.wav,KP003_WWS_2.wav,-446.7010354115201,169.54772553676634,30.875964129407087,-10.341006294837323,20.14181576092501,18.861401235084035,-9.32209384133766,-6.111365160138191,11.59206083194675,1.36092349450221,-15.462526216027896,-7.435691641228732,3.0425793746630605
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP002_WWS.wav,KP002_WWS.wav,-509.8446953186814,174.2788070344341,40.39142076769577,-9.42493383465347,11.53806546895076,13.111335235400087,-8.84160769926912,-7.023091923486188,8.144729192260487,1.2857229958571157,-13.261868045493493,-9.389832381378385,-2.409598791703667
