type,t_start_sec,t_end_sec,duration_sec
inhale,0.52,0.68,0.16000000000000003
inhale,2.48,3.06,0.5800000000000001
inhale,4.8,4.98,0.1800000000000006
inhale,5.62,5.76,0.13999999999999968
inhale,7.34,7.640000000000001,0.3000000000000007
inhale,8.3,8.46,0.16000000000000014
inhale,10.200000000000001,10.36,0.15999999999999837
inhale,11.040000000000001,11.200000000000001,0.16000000000000014
inhale,14.200000000000001,14.36,0.15999999999999837
inhale,17.12,17.26,0.14000000000000057
inhale,19.8,19.96,0.16000000000000014
inhale,22.34,22.48,0.14000000000000057
inhale,24.62,24.76,0.14000000000000057
inhale,27.14,27.3,0.16000000000000014
inhale,28.6,28.88,0.2799999999999976
inhale,29.44,29.6,0.16000000000000014
inhale,31.7,31.86,0.16000000000000014
inhale,33.26,33.58,0.3200000000000003
inhale,34.04,34.2,0.1600000000000037
inhale,36.14,36.300000000000004,0.1600000000000037
inhale,38.26,38.4,0.14000000000000057
inhale,40.54,40.7,0.1600000000000037
inhale,42.32,42.5,0.17999999999999972
inhale,43.1,43.26,0.1599999999999966
inhale,44.02,44.34,0.3200000000000003
inhale,44.7,44.980000000000004,0.28000000000000114
inhale,45.44,45.62,0.17999999999999972
inhale,46.58,46.7,0.12000000000000455
inhale,47.2,47.38,0.17999999999999972
inhale,47.76,47.9,0.14000000000000057
inhale,49.1,49.28,0.17999999999999972
inhale,50.06,50.22,0.1599999999999966
inhale,51.52,52.52,1.0
inhale,54.96,55.120000000000005,0.1600000000000037
inhale,56.38,56.58,0.19999999999999574
inhale,57.32,57.480000000000004,0.1600000000000037
inhale,58.58,58.7,0.12000000000000455
exhale,0.68,0.86,0.17999999999999994
exhale,3.06,3.3200000000000003,0.26000000000000023
exhale,4.98,5.22,0.23999999999999932
exhale,5.76,6.08,0.3200000000000003
exhale,7.640000000000001,8.040000000000001,0.40000000000000036
exhale,8.46,8.84,0.379999999999999
exhale,10.36,10.58,0.22000000000000064
exhale,11.200000000000001,11.84,0.6399999999999988
exhale,13.42,13.56,0.14000000000000057
exhale,14.36,14.72,0.3600000000000012
exhale,17.26,17.46,0.1999999999999993
exhale,19.96,20.16,0.1999999999999993
exhale,22.48,22.68,0.1999999999999993
exhale,24.76,25.080000000000002,0.3200000000000003
exhale,27.3,27.52,0.21999999999999886
exhale,28.88,29.400000000000002,0.5200000000000031
exhale,29.6,29.84,0.23999999999999844
exhale,30.8,30.900000000000002,0.10000000000000142
exhale,31.86,32.18,0.3200000000000003
exhale,32.92,33.02,0.10000000000000142
exhale,33.58,33.86,0.28000000000000114
exhale,34.2,34.4,0.19999999999999574
exhale,36.300000000000004,36.5,0.19999999999999574
exhale,38.4,38.64,0.240000000000002
exhale,40.7,41.02,0.3200000000000003
exhale,42.5,42.84,0.3400000000000034
exhale,43.26,43.84,0.5800000000000054
exhale,44.34,44.52,0.17999999999999972
exhale,44.980000000000004,45.2,0.21999999999999886
exhale,45.62,46.24,0.6200000000000045
exhale,46.7,46.800000000000004,0.10000000000000142
exhale,47.38,47.56,0.17999999999999972
exhale,47.9,48.34,0.44000000000000483
exhale,49.28,49.84,0.5600000000000023
exhale,50.22,50.6,0.38000000000000256
exhale,52.52,52.96,0.4399999999999977
exhale,55.120000000000005,55.46,0.3399999999999963
exhale,56.58,56.76,0.17999999999999972
exhale,57.480000000000004,57.74,0.259999999999998
exhale,58.7,58.84,0.14000000000000057
wheeze_candidate,0.64,1.024,0.384
wheeze_candidate,2.688,2.944,0.2559999999999998
wheeze_candidate,4.992,5.632,0.6399999999999997
wheeze_candidate,7.552,8.064,0.5120000000000005
wheeze_candidate,10.368,10.88,0.5120000000000005
wheeze_candidate,13.568,13.952,0.38400000000000034
wheeze_candidate,24.192,24.576,0.38400000000000034
wheeze_candidate,26.752,27.008,0.2560000000000002
wheeze_candidate,28.8,29.568,0.7680000000000007
wheeze_candidate,29.952,30.336,0.3839999999999968
wheeze_candidate,33.28,34.048,0.7680000000000007
wheeze_candidate,37.76,38.016,0.2560000000000002
wheeze_candidate,40.192,40.448,0.2560000000000002
wheeze_candidate,41.728,41.984,0.2560000000000002
wheeze_candidate,42.496,42.88,0.38400000000000034
wheeze_candidate,44.928,45.312,0.38400000000000034
wheeze_candidate,47.488,47.744,0.2560000000000002
wheeze_candidate,49.664,50.048,0.38400000000000034
wheeze_candidate,51.84,52.48,0.6399999999999935
wheeze_candidate,54.656,54.912,0.2560000000000002
