file_path,filename,preprocessing,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP5_60sec.wav,WEBSS-007 TP5_60sec.wav,bandpass_100_2000,-490.74807147846093,139.68848734046912,38.74018723429632,-2.906019038466187,11.350789271910696,16.700939213956026,2.0304249063555293,-2.3731914141798502,1.7361935788905791,-6.222272856051291,-17.446743518772124,-14.368124250657816,-6.552277369398812
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP3_60sec.wav,WEBSS-007 TP3_60sec.wav,bandpass_100_2000,-402.978100953234,204.2304700310656,35.3606956545248,-17.19538576914109,19.40886583157119,21.003230678158342,-11.555766909951824,-10.789607085580684,6.514715390902056,-6.56966469574373,-25.382196059274232,-15.325603844996913,-3.2046647713733956
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP4_60sec.wav,WEBSS-007 TP4_60sec.wav,bandpass_100_2000,-354.9317196124703,140.91967512384332,43.99023829355707,-1.571696722064529,5.681862606241965,9.018588308782205,-4.38522191317937,-8.694876212511058,-3.542271262431968,-7.387576596921646,-15.457053882321807,-13.16271381734461,-7.276697113937145
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP2_60sec.wav,WEBSS-007 TP2_60sec.wav,bandpass_100_2000,-361.4468310472506,127.3439396933217,17.459389138681757,-15.825327391830188,15.263433250261581,23.66432622245246,-2.5227481066907576,-13.105085809058204,-1.6173566000490165,-1.8737279454624132,-15.526852488293642,-18.168275098617727,-10.319469443085435
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP7_60sec.wav,WEBSS-007 TP7_60sec.wav,bandpass_100_2000,-499.67142473464094,112.63888935115939,42.61332711711901,3.3165623117526697,2.766244771746663,6.433972817725828,-0.2294881029939256,-4.709856606316072,-3.4524057655630935,-6.1189037615212065,-12.760565792631269,-14.804940636229496,-12.353381597865308
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP1_60sec.wav,WEBSS-007 TP1_60sec.wav,bandpass_100_2000,-318.4115927355968,136.1277016390922,35.761281318835465,-2.012625795855772,15.371870700842537,16.721796703079168,-7.4495982051851035,-16.71265630307218,-7.356323184580201,-7.299797751554601,-17.494707686760083,-19.070165603039037,-13.255730742362685
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP6_60sec.wav,WEBSS-007 TP6_60sec.wav,bandpass_100_2000,-448.26279620809646,147.50558656370268,40.07677065126109,-7.009199491799668,6.013125636088407,13.094015352508276,-0.4003827777671739,-5.068341728029338,-0.2385726489840122,-5.35164451411865,-14.200687533733655,-11.863661591563636,-6.748611282019207
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP3_60sec.wav,WEBSS-003 TP3_60sec.wav,bandpass_100_2000,-300.4261035142821,119.23322251127773,24.28686142767629,-18.792908023125623,-4.791549715210036,7.492152357905824,-3.096572310746724,-11.031536638849797,-6.8855064430952115,-6.9497558480997,-13.931886317658453,-14.798274234665731,-9.325900618619583
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP4_60sec.wav,WEBSS-003 TP4_60sec.wav,bandpass_100_2000,-294.92370808930855,163.9014495306882,42.808086247651026,-15.027372186558324,-1.5626908210521346,12.262859157894448,0.23535764579185264,-8.926974044509986,-5.198216730133073,-6.243771030602006,-13.497943835195493,-13.697320866013227,-9.18599434239374
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP2_60sec.wav,WEBSS-003 TP2_60sec.wav,bandpass_100_2000,-426.5143623913693,93.99536317952233,15.403803221493169,-16.997154744159918,-1.315992270037025,9.556801074887398,-1.3570365425174615,-8.781488927472234,-4.060927309461496,-4.008648548994373,-12.001699654132008,-13.918122535060236,-7.503169022012675
