file_path,filename,preprocessing,rms,zcr,spectral_flatness,kurtosis,skewness
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP5_60sec.wav,WEBSS-007 TP5_60sec.wav,bandpass_100_2000,0.010870994992450232,0.030214874983342216,3.645126610526302e-06,137.37482502574693,-0.5790295637245699
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP3_60sec.wav,WEBSS-007 TP3_60sec.wav,bandpass_100_2000,0.04571292394211311,0.02846216392923774,2.3156466677021923e-06,19.558430460841546,0.10419675340440135
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP4_60sec.wav,WEBSS-007 TP4_60sec.wav,bandpass_100_2000,0.04071117768174366,0.033108383861940295,4.478616234651922e-07,126.77663093767345,-0.6264108875496123
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP2_60sec.wav,WEBSS-007 TP2_60sec.wav,bandpass_100_2000,0.025467173927148715,0.04809127840151919,2.743262498363111e-06,167.46661196790367,1.4479909511671203
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP7_60sec.wav,WEBSS-007 TP7_60sec.wav,bandpass_100_2000,0.021189244602330456,0.03846281982942431,1.164435437743081e-06,14.508805951410686,0.36611749170838176
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP1_60sec.wav,WEBSS-007 TP1_60sec.wav,bandpass_100_2000,0.06855426943611093,0.033256742237473345,1.7975300205703765e-07,23.712984157762815,-0.15223798424974017
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP6_60sec.wav,WEBSS-007 TP6_60sec.wav,bandpass_100_2000,0.0182775603112524,0.030678429837420043,3.6412499658452566e-07,156.4087046986443,-0.08221765533292813
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP3_60sec.wav,WEBSS-003 TP3_60sec.wav,bandpass_100_2000,0.16819570455348581,0.06035010494402985,0.0917557909180898,24.428301214136418,-1.229657549543404
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP4_60sec.wav,WEBSS-003 TP4_60sec.wav,bandpass_100_2000,0.10951003487246308,0.029886924890058637,8.263738422996732e-08,26.724409173326052,-0.018870387207435325
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP2_60sec.wav,WEBSS-003 TP2_60sec.wav,bandpass_100_2000,0.025443941236289763,0.0949035514392324,0.24337926535838597,147.57252523093894,-2.291190578695841
