fold,epochs,macro_recall_raw,macro_recall_tau,nb_precision_tau,weighted_score_tau,per_class_recall_raw,per_class_recall_tau,taus,class_names,n_train,n_val,recall_floors,class_weights_score
1,60,0.2626418026315655,0.37030303478240967,0.8297872340248982,-0.06678897142410278,"[0.3846153845857988, 0.15384615383431952, 0.6111111111043209, 0.0, 0.16363636363338843]","[0.3076923191547394, 0.692307710647583, 0.4333333373069763, 0.0, 0.41818180680274963]","[1.3899999856948853, 0.9399999976158142, 1.75, 2.0199999809265137, 0.7599999904632568]","[""Crackle"", ""Healthy"", ""Non-breathing"", ""Rhonchi"", ""Wheezing""]",555,171,"[0.25, 0.25, 0.3499999940395355, 0.25, 0.25]","[0.7444807291030884, 2.070586919784546, 0.22160127758979797, 0.9889370799064636, 0.974393904209137]"
2,60,0.4186249044851499,0.5082352995872498,0.970588235265571,-0.35599130392074585,"[0.941176470532872, 0.6428571428112245, 0.5090909090816529, 0.0, 0.0]","[0.9411764740943909, 1.0, 0.6000000238418579, 0.0, 0.0]","[1.1200000047683716, 0.9399999976158142, 1.0, 1.0, 1.2999999523162842]","[""Crackle"", ""Healthy"", ""Non-breathing"", ""Rhonchi"", ""Wheezing""]",640,86,"[0.25, 0.25, 0.3499999940395355, 0.25, 0.25]","[0.839469850063324, 2.301772117614746, 0.2136375457048416, 1.0649991035461426, 0.5801213979721069]"
3,60,0.15196969696693566,0.37303030490875244,0.8749999999726563,-0.14580613374710083,"[0.0681818181802686, 0.0, 0.6249999999921875, 0.0, 0.06666666666222222]","[0.1818181872367859, 1.0, 0.3499999940395355, 0.0, 0.3333333432674408]","[0.4000000059604645, 0.4000000059604645, 0.8500000238418579, 1.2999999523162842, 0.49000000953674316]","[""Crackle"", ""Healthy"", ""Non-breathing"", ""Rhonchi"", ""Wheezing""]",577,149,"[0.25, 0.25, 0.3499999940395355, 0.25, 0.25]","[1.1771481037139893, 1.9507026672363281, 0.22095337510108948, 1.0190237760543823, 0.632172167301178]"
4,60,0.34644040495545614,0.30755144655704497,0.9333333333022222,0.18515002727508545,"[0.49999999996428574, 0.124999999984375, 0.5609756097492564, 0.1499999999925, 0.3962264150868637]","[0.3571428656578064, 0.375, 0.3414634168148041, 0.20000000298023224, 0.2641509473323822]","[1.0299999713897705, 0.6700000166893005, 1.1200000047683716, 0.7599999904632568, 1.0]","[""Crackle"", ""Healthy"", ""Non-breathing"", ""Rhonchi"", ""Wheezing""]",549,177,"[0.25, 0.25, 0.3499999940395355, 0.25, 0.25]","[0.7358886003494263, 1.7502214908599854, 0.2109387367963791, 1.3778338432312012, 0.9251170754432678]"
5,60,0.19810215730625585,0.2954555511474609,0.7288135593096812,-0.6256442964076996,"[0.35714285711734695, 0.0, 0.3780487804831945, 0.2553191489307379, 0.0]","[0.3571428656578064, 0.0, 0.5243902206420898, 0.5957446694374084, 0.0]","[1.1200000047683716, 2.200000047683716, 0.8500000238418579, 0.7599999904632568, 1.659999966621399]","[""Crackle"", ""Healthy"", ""Non-breathing"", ""Rhonchi"", ""Wheezing""]",583,143,"[0.25, 0.25, 0.3499999940395355, 0.25, 0.25]","[0.5982544422149658, 1.169919729232788, 0.17148660123348236, 2.632319450378418, 0.4280194044113159]"
