t0,t1,prob_Crackle,prob_Healthy,prob_Non-breathing,prob_Rhonchi,prob_Wheezing,pred_label
0.00,2.00,0.026708,0.003640,0.955090,0.000193,0.014369,Non-breathing
0.50,2.50,0.006958,0.001902,0.984435,0.000201,0.006504,Non-breathing
1.00,3.00,0.033781,0.000764,0.964861,0.000061,0.000534,Non-breathing
1.50,3.50,0.054552,0.000529,0.944498,0.000028,0.000393,Non-breathing
2.00,4.00,0.042898,0.000283,0.956444,0.000050,0.000325,Non-breathing
2.50,4.50,0.047811,0.000260,0.951753,0.000052,0.000124,Non-breathing
3.00,5.00,0.073477,0.000187,0.926074,0.000059,0.000203,Non-breathing
3.50,5.50,0.044883,0.000190,0.954765,0.000035,0.000127,Non-breathing
4.00,6.00,0.045939,0.000166,0.953735,0.000020,0.000140,Non-breathing
4.50,6.50,0.059674,0.000068,0.940120,0.000010,0.000128,Non-breathing
5.00,7.00,0.075773,0.000135,0.923886,0.000012,0.000194,Non-breathing
5.50,7.50,0.076344,0.000242,0.923248,0.000043,0.000123,Non-breathing
6.00,8.00,0.042607,0.000126,0.957156,0.000028,0.000083,Non-breathing
6.50,8.50,0.097799,0.000263,0.901746,0.000040,0.000151,Non-breathing
7.00,9.00,0.041935,0.000106,0.957743,0.000099,0.000116,Non-breathing
7.50,9.50,0.044786,0.000119,0.954704,0.000214,0.000177,Non-breathing
8.00,10.00,0.048267,0.000310,0.950663,0.000666,0.000094,Non-breathing
8.50,10.50,0.020619,0.000301,0.978204,0.000787,0.000090,Non-breathing
9.00,11.00,0.034106,0.000313,0.965196,0.000164,0.000221,Non-breathing
9.50,11.50,0.053678,0.000114,0.945949,0.000073,0.000186,Non-breathing
10.00,12.00,0.049522,0.000011,0.949320,0.000042,0.001106,Non-breathing
10.50,12.50,0.035918,0.000007,0.962656,0.000076,0.001344,Non-breathing
11.00,13.00,0.042862,0.000021,0.956083,0.000650,0.000384,Non-breathing
11.50,13.50,0.042673,0.000036,0.956884,0.000185,0.000222,Non-breathing
12.00,14.00,0.029636,0.000099,0.968653,0.001416,0.000196,Non-breathing
12.50,14.50,0.084670,0.000068,0.914196,0.000508,0.000559,Non-breathing
13.00,15.00,0.203065,0.000020,0.793751,0.000287,0.002877,Crackle
13.50,15.50,0.180416,0.000020,0.804946,0.003048,0.011571,Non-breathing
14.00,16.00,0.179342,0.000022,0.766783,0.008344,0.045508,Crackle
14.50,16.50,0.045681,0.000060,0.881247,0.044736,0.028277,Non-breathing
15.00,17.00,0.017710,0.000402,0.905416,0.074564,0.001908,Non-breathing
15.50,17.50,0.010191,0.000090,0.985822,0.003730,0.000167,Non-breathing
16.00,18.00,0.080884,0.000043,0.918071,0.000504,0.000498,Non-breathing
16.50,18.50,0.191525,0.000011,0.808190,0.000064,0.000210,Non-breathing
17.00,19.00,0.136334,0.000003,0.863471,0.000056,0.000136,Non-breathing
17.50,19.50,0.296173,0.000022,0.702663,0.000734,0.000407,Crackle
18.00,20.00,0.112204,0.000254,0.887356,0.000130,0.000057,Non-breathing
18.50,20.50,0.044393,0.000777,0.954704,0.000084,0.000042,Non-breathing
19.00,21.00,0.003783,0.020203,0.841675,0.000399,0.133940,Wheezing
19.50,21.50,0.001598,0.001756,0.930676,0.000707,0.065263,Non-breathing
20.00,22.00,0.000004,0.005699,0.774645,0.004574,0.215078,Wheezing
20.50,22.50,0.000003,0.001818,0.684574,0.001342,0.312264,Wheezing
21.00,23.00,0.000025,0.004659,0.565753,0.008160,0.421403,Wheezing
21.50,23.50,0.000000,0.000310,0.754020,0.000938,0.244732,Wheezing
22.00,24.00,0.024859,0.000201,0.974677,0.000066,0.000197,Non-breathing
22.50,24.50,0.034013,0.000387,0.965398,0.000085,0.000118,Non-breathing
23.00,25.00,0.039941,0.000577,0.959225,0.000112,0.000145,Non-breathing
23.50,25.50,0.028151,0.000625,0.971081,0.000091,0.000052,Non-breathing
24.00,26.00,0.019151,0.001514,0.979023,0.000139,0.000173,Non-breathing
24.50,26.50,0.023807,0.002922,0.973123,0.000087,0.000060,Non-breathing
25.00,27.00,0.023119,0.002528,0.974251,0.000081,0.000021,Non-breathing
25.50,27.50,0.054471,0.006135,0.939231,0.000137,0.000026,Non-breathing
26.00,28.00,0.035821,0.001684,0.962402,0.000086,0.000007,Non-breathing
26.50,28.50,0.064789,0.003806,0.931018,0.000367,0.000020,Non-breathing
27.00,29.00,0.149368,0.004719,0.845394,0.000470,0.000048,Non-breathing
27.50,29.50,0.120606,0.003422,0.875512,0.000394,0.000066,Non-breathing
28.00,30.00,0.079893,0.002406,0.917387,0.000263,0.000052,Non-breathing
