fold,s_scale,epochs,macro_recall_raw,macro_recall_tau,nb_precision_tau,per_class_recall_raw,per_class_recall_tau,taus,class_names,n_train,n_val
1,16.0,60,0.29148407146847716,0.3902874902637108,0.8378378378151936,"[0.4615384615029586, 0.4615384615029586, 0.3888888888845679, 0.0, 0.14545454545190084]","[0.6923076922544379, 0.7692307691715976, 0.3444444444406173, 0.0, 0.14545454545190084]","[0.699999988079071, 0.699999988079071, 1.0, 1.7999999523162842, 0.699999988079071]","[""Crackle"", ""Healthy"", ""Non-breathing"", ""Rhonchi"", ""Wheezing""]",555,171
2,16.0,60,0.48278074863602427,0.5182887700262311,0.9512195121719216,"[0.941176470532872, 0.9999999999285715, 0.4727272727186777, 0.0, 0.0]","[0.8823529411245675, 0.9999999999285715, 0.7090909090780165, 0.0, 0.0]","[1.7999999523162842, 1.0, 0.6000000238418579, 1.0, 1.2000000476837158]","[""Crackle"", ""Healthy"", ""Non-breathing"", ""Rhonchi"", ""Wheezing""]",640,86
3,16.0,60,0.1672727272703574,0.2799999999907386,0.7234042553114531,"[0.1363636363605372, 0.0, 0.69999999999125, 0.0, 0.0]","[0.2499999999943182, 0.29999999997, 0.8499999999893749, 0.0, 0.0]","[0.800000011920929, 0.699999988079071, 0.6000000238418579, 1.600000023841858, 1.7999999523162842]","[""Crackle"", ""Healthy"", ""Non-breathing"", ""Rhonchi"", ""Wheezing""]",577,149
4,16.0,60,0.4354437577858189,0.5674156859781423,0.8378378378151936,"[0.8571428570816326, 0.124999999984375, 0.5365853658471148, 0.299999999985, 0.3584905660309719]","[0.8571428570816326, 0.74999999990625, 0.3780487804831945, 0.5499999999725, 0.30188679244713423]","[1.2000000476837158, 0.699999988079071, 1.7000000476837158, 0.6000000238418579, 1.600000023841858]","[""Crackle"", ""Healthy"", ""Non-breathing"", ""Rhonchi"", ""Wheezing""]",549,177
5,16.0,60,0.11828897619688791,0.2061902290657566,0.7142857142517007,"[0.35714285711734695, 0.0, 0.08536585365749554, 0.14893617020959712, 0.0]","[0.571428571387755, 0.0, 0.18292682926606185, 0.27659574467496606, 0.0]","[0.6000000238418579, 1.7000000476837158, 0.6000000238418579, 0.699999988079071, 1.600000023841858]","[""Crackle"", ""Healthy"", ""Non-breathing"", ""Rhonchi"", ""Wheezing""]",583,143
