class_id,class_name,threshold
0,Crackle,4.107288092733543e-07
1,Healthy,2.1044927097328487e-08
2,Non-breathing,4.5719408966232834e-05
3,Rhonchi,1.4533623995347318e-08
4,Wheezing,0.00015913540268891046
