file_path,filename,preprocessing,rms,zcr,spectral_flatness,kurtosis,skewness,logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP6_60sec.wav,WEBSS-007 TP6_60sec.wav,bandpass_100_2000,0.0182775603112524,0.030678429837420043,3.6412499658452566e-07,156.4087046986443,-0.08221765533292813,-49.02319723719252,-32.170697647910714,-29.719258796771012,-33.803490839483516,-37.24613221555971,-41.025315677750314,-44.219896095187615,-46.347480295737235,-47.86395038755928,-48.53135546385734,-49.66447538987978,-51.49945386914654,-52.714912077356196,-53.93501808283402,-54.54733768787188,-54.0879647766494,-52.83714646498972,-53.12525556033253,-53.2220079400339,-55.70708127432902,-57.64898328333116,-58.53692451622715,-59.40349365793638,-60.48596243750556,-61.17167302494712,-61.38854088472896,-63.087716002301676,-64.63038461978768,-65.548898828412,-66.55902162286326,-67.16291874120755,-67.56885733159092,-68.27957245264116,-68.90362100850174,-72.75358616986463,-79.90353298049885,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-448.26279620809646,147.50558656370268,40.07677065126109,-7.009199491799668,6.013125636088407,13.094015352508276,-0.4003827777671739,-5.068341728029338,-0.2385726489840122,-5.35164451411865,-14.200687533733655,-11.863661591563636,-6.748611282019207
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP3_60sec.wav,WEBSS-003 TP3_60sec.wav,bandpass_100_2000,0.16819570455348581,0.06035010494402985,0.0917557909180898,24.428301214136418,-1.229657549543404,-67.54284723422649,-46.373945315264734,-39.648352888031866,-40.9112130007329,-44.70795872120023,-46.112446323985566,-48.11306925751736,-50.2072062275483,-50.75480864202712,-51.61463881925616,-52.94329038508077,-53.68237849213342,-54.37168402810208,-55.19165292655441,-55.67390619519038,-55.33646690395975,-54.737386995356836,-54.614420016966214,-55.50125644406676,-55.686732297815745,-56.650696095100585,-58.04712547063825,-59.47286300485077,-59.808825855510435,-61.27239548473169,-61.185793415543564,-62.53613628176422,-63.447411379579016,-64.02993313186623,-64.93476217050673,-66.61324181806229,-68.27608793253134,-70.01037544851515,-72.06255317127953,-76.59705056053079,-79.70132426671026,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-300.4261035142821,119.23322251127773,24.28686142767629,-18.792908023125623,-4.791549715210036,7.492152357905824,-3.096572310746724,-11.031536638849797,-6.8855064430952115,-6.9497558480997,-13.931886317658453,-14.798274234665731,-9.325900618619583
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP4_60sec.wav,WEBSS-003 TP4_60sec.wav,bandpass_100_2000,0.10951003487246308,0.029886924890058637,8.263738422996732e-08,26.724409173326052,-0.018870387207435325,-46.27162513587513,-28.31677751154738,-24.244233247005486,-25.65527069234021,-29.887520655754265,-33.97721248084647,-36.78053148434121,-38.77012748610284,-40.29862171715399,-41.05976188645343,-42.61604844984667,-43.71872465843849,-44.61911933897146,-45.64333143654799,-46.20342607012536,-46.44604637786283,-46.315669763579564,-46.774787370096995,-47.139105331471384,-47.692692524788725,-49.68693807424992,-50.985664623466334,-52.01666517560279,-53.30908793219938,-54.63941991310907,-55.269109493242986,-56.99563409169955,-58.69014948647837,-60.111702656275384,-61.33576627934313,-62.84925112109481,-64.55384020205608,-66.12380657141621,-68.141393527871,-72.8302610652853,-79.18114253306811,-79.99671761110689,-79.99815948672506,-79.9993467912931,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-294.92370808930855,163.9014495306882,42.808086247651026,-15.027372186558324,-1.5626908210521346,12.262859157894448,0.23535764579185264,-8.926974044509986,-5.198216730133073,-6.243771030602006,-13.497943835195493,-13.697320866013227,-9.18599434239374
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP2_60sec.wav,WEBSS-003 TP2_60sec.wav,bandpass_100_2000,0.025443941236289763,0.0949035514392324,0.24337926535838597,147.57252523093894,-2.291190578695841,-68.67184995135183,-53.60720008224083,-49.42714787612349,-49.65990850426641,-51.480690091612466,-54.09931447372198,-56.504604290050196,-57.36397235680083,-57.42889601275388,-57.72670480890755,-59.32419935930629,-61.062848519336264,-61.455434729396046,-61.600732798543866,-61.44945461275487,-60.34935219972176,-59.596864536045885,-59.216883886791805,-60.19594206216316,-60.7417206104415,-60.67593193841974,-61.50361132101081,-63.18113393134848,-64.1069584954301,-64.9464265152051,-65.08445820732263,-65.48803188605075,-65.6071413422522,-63.51070404543627,-65.50763437440779,-68.11078538897303,-70.03652028322323,-71.96453734922873,-73.27233632417946,-77.08409663999888,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-426.5143623913693,93.99536317952233,15.403803221493169,-16.997154744159918,-1.315992270037025,9.556801074887398,-1.3570365425174615,-8.781488927472234,-4.060927309461496,-4.008648548994373,-12.001699654132008,-13.918122535060236,-7.503169022012675
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP7_60sec.wav,WEBSS-003 TP7_60sec.wav,bandpass_100_2000,0.014220536112565806,0.03869863156316631,7.440736729131699e-07,58.284530050806126,-0.8409962285877371,-44.69222424356243,-28.31145237803538,-25.34525224665793,-28.280961255333807,-31.591530653787732,-33.98928729233747,-36.08908594630727,-37.47704263694833,-37.52901234240058,-37.63122420511209,-39.15652917568449,-41.025754212228094,-42.083214125394214,-42.961975100569084,-43.43103784060311,-43.36692031909603,-42.367285145397,-42.831324782549785,-43.54958808656318,-45.00286596666559,-46.72821168566815,-47.99854105650514,-48.797861737952346,-49.92339431677703,-51.41514507916593,-52.40429127162779,-53.619946040658924,-54.640244227660126,-55.83125867821867,-57.35057023525739,-58.96638852518789,-60.91276184662729,-62.34255125330986,-64.28835360051859,-69.15367816136356,-79.65652062434515,-79.99662074155326,-79.9978268677032,-79.99873830249535,-79.99952582538181,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-464.03289047169096,186.89051740181932,30.44290965923687,-30.770953978401113,-1.0089548056919124,14.622568094860577,-6.1048653016443515,-12.890288133467566,-1.100012526254711,-3.8841433151351805,-16.32774892657638,-13.823743406674645,-5.161450589233446
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP1_60sec.wav,WEBSS-003 TP1_60sec.wav,bandpass_100_2000,0.04961093439972563,0.033714050423107676,3.7123651384716475e-07,48.99953781169313,-0.4301921734716729,-48.06100496948404,-29.733405184285797,-25.141992976881365,-27.760115902304396,-31.354770339465627,-34.080143646876735,-35.34350040587914,-36.100939888645264,-38.1439604727509,-40.064864734901384,-41.57435674571965,-42.46263339061734,-43.36340981144445,-44.489333576413706,-45.102930534548854,-45.14656474915606,-45.47384020819654,-46.20444991973875,-46.76155024632255,-47.61778917095578,-47.81574899926593,-48.20454417167025,-48.88879859564464,-50.39149012433672,-52.41122807804884,-54.11601883782518,-55.51380914725615,-56.44172823813446,-56.819448551601866,-57.515865711356305,-58.41659241078101,-59.671906254295635,-61.63804555431911,-63.50704047176933,-67.78997026872231,-79.84907738977266,-79.98665694113332,-79.9894789889963,-79.99113388743298,-79.99221886190573,-79.99324038617955,-79.99425249247946,-79.99526334397463,-79.99627746465873,-79.99704845068294,-79.99756123571483,-79.998075437812,-79.99859189593253,-79.99911268180085,-79.99963793505651,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-356.5088787766929,175.37746545494028,31.366055562744577,-24.302649632357838,2.2447218888131752,13.741561932669129,-7.449366545648337,-13.869145192619596,-3.5176700127145253,-7.413417592861656,-18.309976105223953,-13.37658512549059,-4.654433931293119
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP6_60sec.wav,WEBSS-003 TP6_60sec.wav,bandpass_100_2000,0.017968306062929977,0.0351057560967484,1.0937526584310591e-06,9.987618057106946,0.28218632167034713,-35.85444258085051,-19.805448613875747,-16.91572517932537,-18.926790937163183,-22.953551156526025,-26.408954741845022,-27.995374928100848,-29.281029023460764,-28.00119560690726,-28.45287197777997,-30.584612149341034,-32.16113902205675,-33.7066488259033,-34.87697306107057,-34.906830956928786,-35.11302664078491,-34.708026206755385,-35.68589343358638,-35.44773185873705,-36.47381162765134,-38.41605105071131,-39.24721096419181,-40.43398892388491,-42.47070941408205,-43.9167846685913,-44.5219907303974,-45.99831083287315,-47.54493534438732,-48.76926199508581,-49.94111127527277,-51.27634396555154,-53.41033085287047,-55.47350597219903,-57.5502401227533,-62.397360770202106,-78.74603389784914,-79.96654768025824,-79.97140013933529,-79.9753919893463,-79.9789260837294,-79.98126854122035,-79.9832527062996,-79.98508469240474,-79.98678525380502,-79.98787693365347,-79.98886186911604,-79.98981825086997,-79.99074745084249,-79.99165241196084,-79.99253138787387,-79.99337871835297,-79.99420342218184,-79.99499568971726,-79.99575574226144,-79.9964843342026,-79.99698971740142,-79.99731447065561,-79.99761675204209,-79.99789348507119,-79.99814101301106,-79.99835673926626,-79.99853413023861,-79.99866973709635,-79.9987555961347,-452.0542709680248,215.77161041268792,29.681979394630797,-38.36382568230617,0.6927394568806686,17.576774759685485,-9.117863092388353,-15.428962484694772,0.39785855519992536,-3.742233080333291,-18.503241586901765,-13.238648151321893,-2.242394978861365
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS002_3/WEBSS-002 TP 3_60sec.wav,WEBSS-002 TP 3_60sec.wav,bandpass_100_2000,0.018999498073150923,0.03524240196894989,1.4709860441673654e-06,28.354723860384112,0.340219587678584,-41.89870061477294,-25.94786086015732,-23.268134127755168,-26.269145033616898,-28.866674036050185,-30.752866710469696,-32.73894867792602,-35.933966094756315,-38.45927211831831,-40.72955229832107,-43.75127976730931,-46.68099447165579,-48.64859750239899,-49.66548107661007,-50.255865675973176,-50.706017799186604,-50.770469292113496,-50.518005457999465,-50.13862918679937,-49.946594429881884,-49.49662852268919,-49.15152950499533,-49.04727816128535,-48.494518504040926,-47.985510750505746,-47.59543861909066,-48.166571869291715,-49.36471993024436,-50.59194358770395,-52.36845404363824,-55.00345025972595,-58.427855244067274,-61.1779761740928,-63.55585897562899,-68.45090229058705,-79.86756464355784,-79.97953641060225,-79.9834226635463,-79.98671325811938,-79.9897326000205,-79.99200509098975,-79.99411449203339,-79.99563155013792,-79.99681912985011,-79.9979556245343,-79.99904731460907,-79.99964703998491,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-456.483461750294,180.99225270375845,25.946410923710857,-21.200036229797732,22.683828675656216,34.103778459437514,-5.2180614488552175,-24.06729945677376,-9.100611050304565,-4.551307778855498,-16.101953565307756,-16.364077658376114,-7.740733547820922
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS002_3/WEBSS-002 TP 4_60sec.wav,WEBSS-002 TP 4_60sec.wav,bandpass_100_2000,0.04121556293446746,0.02657176589152452,7.277818228441488e-07,83.38223558377344,0.1506207727788683,-49.568295663980365,-34.26155525729336,-32.3313591190215,-35.3803239619379,-37.43848440179104,-39.5134253525121,-42.56828576816106,-45.66372004204282,-47.905382431746915,-50.67784383876554,-53.92948316945669,-56.7737137045424,-59.10900483661591,-60.83699849397799,-61.890163124534205,-62.90768262999561,-63.892082051954205,-64.49320796830129,-64.73919052819276,-65.25643153928583,-65.33755320989333,-65.37300787343493,-65.1285583317584,-64.0891730424127,-63.09039495329498,-62.500856431461685,-62.257372592877594,-63.01454859971572,-64.42451824212823,-67.12788026463166,-69.82438407841333,-72.26829667526921,-74.31367013538357,-76.08187087789624,-79.11595613380618,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-385.2253740894716,113.22314565335061,49.6424514147555,16.08575313264973,18.691416774619416,19.018668555715553,0.061032491450383065,-16.634008078710753,-14.378659836354291,-5.605200262499382,-6.383369371026863,-12.869813910807201,-13.725880401565327
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS002_3/WEBSS-002 TP 2_60sec.wav,WEBSS-002 TP 2_60sec.wav,bandpass_100_2000,0.005367125304922959,0.03142282449360341,4.539633240321582e-06,52.83258546554622,0.28151443336021903,-51.312602948576796,-36.06070776094957,-33.386737626135535,-36.25019464470945,-37.46959429729545,-39.77856964381353,-43.23602618520014,-45.9050649399689,-47.900381746041596,-50.33501338593438,-52.512629238117945,-54.81451830185645,-56.40529498506959,-57.53755720774236,-58.0559083004576,-58.47424710960034,-59.39723162340082,-60.08589484471044,-60.67614784500089,-60.84383381877637,-61.377400097572604,-61.405303507398926,-61.279656539075106,-61.22281692047809,-61.24490815172272,-61.27160615194802,-61.560187487798636,-62.13421313534604,-62.43948371513296,-64.09331285308062,-66.14884467452325,-68.53282217644843,-71.25646111698612,-73.30056200521683,-76.89892533985855,-79.9744178473085,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-583.5822462869622,120.6926240749934,40.58694196278314,3.702916591848693,13.165638621329501,17.277627918855682,-1.045519827311605,-14.290187083058962,-9.656209382012186,-4.755333756348008,-9.6670578873342,-13.954933657366771,-11.326803480033128
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP6_60sec.wav,WEBSS-006 TP6_60sec.wav,bandpass_100_2000,0.051489710203035007,0.03255269064832089,6.05507284935107e-06,171.46432953559102,-0.48549753560381115,-64.93172620445209,-49.23223627160947,-46.502161265689224,-49.015076002388675,-52.03613703590611,-54.387318098848816,-57.01966931251939,-58.729543036083314,-59.9723060995831,-61.302899460661955,-62.05405977484748,-62.262634282587946,-63.03411057841871,-64.06489042050893,-65.12926587316836,-66.3982163307859,-68.00245388264857,-70.17646566868221,-72.2411743701042,-73.94782810084259,-75.2685789458752,-76.26035863921581,-77.10501712698294,-77.65271159748693,-77.8218551513356,-78.29673490244984,-78.73253898299458,-78.85346924938044,-78.94978291039155,-79.08255337686604,-79.19721988787084,-79.27662081650806,-79.29782839253923,-79.41608274929243,-79.58857559636448,-79.9497518131484,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-427.84961568053325,74.25774294732129,47.009594118932014,20.439506668645873,3.5801608744756175,-3.902234695522064,-5.105936528889994,-2.9803270384863207,-1.1296519860270553,-2.0137314368729737,-4.767589429062241,-7.215118883553805,-8.69335348851301
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP11_60sec.wav,WEBSS-006 TP11_60sec.wav,bandpass_100_2000,0.0183513716134648,0.026890085704291043,5.578092958935618e-06,50.70191988139812,0.033907450314127396,-49.519899665416396,-34.20239852515271,-32.85320807511854,-36.248335173651896,-40.32889364656837,-43.030080950452586,-45.191110686339314,-46.88266276186332,-48.12647619448788,-49.31152874704214,-50.88046510838266,-52.00399212657797,-53.267587783662194,-55.25108457542025,-57.440994060629315,-58.753118862026106,-59.30703842995025,-59.857318023097356,-61.21892966299065,-64.20494009722513,-66.2584692376569,-67.77519729116732,-69.08085215947564,-68.83035650785706,-69.4511263742058,-72.04989542691243,-73.42932917682593,-74.04912959529311,-74.36506773414592,-75.09247434339923,-76.02104147954276,-77.01573393440744,-77.7697316885539,-78.40325572426669,-79.37320848876628,-79.90619008083367,-79.97695984843764,-79.98104066798466,-79.98437568326507,-79.9873756247866,-79.99012175446283,-79.99230366202688,-79.99423240094822,-79.99550653599415,-79.99659658129144,-79.99763744195319,-79.99863313207241,-79.9994317618485,-79.99986697187724,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-506.0024501953938,117.41714318870105,63.8174516607906,19.389165908805474,0.6615548701057621,-2.1899052295705164,-2.3023173617949553,-3.021928807734137,-3.6607571843276587,-4.921918337688277,-6.781011989897381,-7.825030189428591,-7.906734004777753
