epoch,train_loss,train_f1,train_ap,val_loss,val_f1,val_ap,lr
1,1.3363862400469573,0.2866666666666666,0.37438313830777065,1.38713800907135,0.1,0.6666666666666666,0.0003
2,1.1745779255162114,0.3601190476190476,0.6332533943329398,1.3877135515213013,0.1,0.7083333333333333,0.00029981498719186745
3,1.0322318906369417,0.3214285714285714,0.7503261619333048,1.3919923305511475,0.1,0.6875,0.00029926045587471686
4,1.0719330258991406,0.26136363636363635,0.5702047952047952,1.4276978969573975,0.1,0.5625,0.0002983379259803436
5,0.9610330851181693,0.3397129186602871,0.6564463792763482,1.5715593099594116,0.1,0.7083333333333333,0.00029704992609906383
6,0.8209362470585367,0.3668730650154799,0.7061643217893219,1.9459962844848633,0.1,0.7083333333333333,0.00029539998654902434
7,0.7992205749387327,0.42051282051282046,0.6841337924058513,2.5035176277160645,0.1,0.5625,0.00029339262969984594
8,0.9826464186544004,0.32525252525252524,0.6921676944609275,3.1066250801086426,0.1,0.5625,0.00029103335757712243
9,0.8387381538100864,0.38541666666666663,0.5354402998317472,3.4930102825164795,0.1,0.5625,0.0002883286367817514
10,0.8431397961533588,0.4942583732057416,0.7490444575266002,3.549548625946045,0.1,0.7083333333333333,0.0002852858807654299
11,1.003115581429523,0.2901785714285714,0.7768691130298273,3.525827169418335,0.1,0.7083333333333333,0.00028191342951089957
