epoch,train_loss,train_f1,train_ap,val_loss,val_f1,val_ap,lr
1,1.3487041842552923,0.2361111111111111,0.4439656660887038,1.400303602218628,0.1,0.3726190476190476,0.0003
2,1.2272282338911487,0.3832417582417582,0.5985342846453957,1.4306414127349854,0.05555555555555555,0.350297619047619,0.00029981498719186745
3,1.1053790700051092,0.41793478260869565,0.5724591992974346,1.5013288259506226,0.05555555555555555,0.3607142857142857,0.00029926045587471686
4,1.0943713688081311,0.4012820512820513,0.6466802862570806,1.6857713460922241,0.05555555555555555,0.381547619047619,0.0002983379259803436
5,1.1034219687984836,0.42171717171717166,0.6397858824142854,2.1368017196655273,0.05555555555555555,0.3860119047619047,0.00029704992609906383
6,0.8623197097932139,0.5416666666666666,0.7177108060590203,2.9556920528411865,0.05555555555555555,0.381547619047619,0.00029539998654902434
7,0.8815400908070226,0.5029761904761905,0.6495285177007866,3.9603137969970703,0.05555555555555555,0.381547619047619,0.00029339262969984594
8,0.9050767364040497,0.5568181818181818,0.7092990465416936,4.77972412109375,0.05555555555555555,0.38749999999999996,0.00029103335757712243
9,0.7466182381876053,0.5934343434343434,0.7544787262857915,5.472458839416504,0.05555555555555555,0.38303571428571426,0.0002883286367817514
10,0.8861082350054095,0.44330143540669853,0.6235645420990248,5.749236583709717,0.05555555555555555,0.38749999999999996,0.0002852858807654299
11,0.9309443446897692,0.5163690476190477,0.6735014260892176,5.786680698394775,0.05555555555555555,0.38749999999999996,0.00028191342951089957
