phase,epoch,train_loss,train_f1,train_ap,val_loss,val_f1,val_ap,lr
LP,1,1.2101359367370605,0.3333333333333333,0.3329648168189835,1.1216498613357544,0.3333333333333333,0.5555555555555555,0.001
LP,2,1.0942188501358032,0.4220142602495544,0.46798360369788944,1.0830867290496826,0.3333333333333333,0.6944444444444443,0.001
LP,3,0.9669370651245117,0.39285714285714285,0.655372508150286,1.032792329788208,0.48888888888888893,0.8333333333333334,0.001
LP,4,0.9343066215515137,0.5119047619047619,0.780280103494389,0.987497866153717,0.7777777777777777,0.8333333333333334,0.001
LP,5,0.9449279308319092,0.38611111111111107,0.5849303474303474,0.9575631022453308,0.7777777777777777,0.8333333333333334,0.001
FT,1,1.1413524150848389,0.19444444444444442,0.44066172933819986,0.9606653451919556,0.7777777777777777,0.8333333333333334,0.0001
FT,2,0.901831865310669,0.38655462184873945,0.6430517399267399,0.946455180644989,0.7777777777777777,0.8333333333333334,9.97534852915723e-05
FT,3,0.8491873741149902,0.4522875816993464,0.6587476016047443,0.9335113763809204,0.5,0.7777777777777777,9.901664203302126e-05
FT,4,0.8475761413574219,0.7380952380952381,0.8228047672492117,0.9157439470291138,0.5,0.7777777777777777,9.779754323328192e-05
FT,5,0.8597134947776794,0.604040404040404,0.8971230158730158,0.9040453433990479,0.5,0.7777777777777777,9.610954559391703e-05
FT,6,0.8527452349662781,0.6836007130124777,0.8090873015873016,0.901102602481842,0.6,0.7777777777777777,9.397114317029975e-05
FT,7,0.7333285212516785,0.8088888888888889,0.8796296296296297,0.8987002968788147,0.6,0.7777777777777777,9.140576474687265e-05
FT,8,0.6984776258468628,0.6872710622710624,0.8962962962962964,0.8989560008049011,0.6,0.6944444444444443,8.844151714648274e-05
