epoch,train_loss,train_f1,train_ap,val_loss,val_f1,val_ap,lr
1,1.7318641543388367,0.0707070707070707,0.18142851633009785,1.811949372291565,0.05128205128205129,0.3979166666666667,0.0003
2,1.6232643127441406,0.21172161172161172,0.34651633854816,1.8240669965744019,0.027777777777777776,0.32117604617604617,0.00029981498719186745
3,1.4276307225227356,0.1998231653404067,0.5302376987612495,1.8538703918457031,0.027777777777777776,0.3429292929292929,0.00029926045587471686
4,1.3495238423347473,0.20154127481713688,0.42648353441586084,1.9462273120880127,0.027777777777777776,0.33749999999999997,0.0002983379259803436
5,1.3082619309425354,0.12222222222222223,0.4611325580308272,2.185926675796509,0.027777777777777776,0.3261243386243386,0.00029704992609906383
6,1.353428304195404,0.13825757575757577,0.4672576802722035,2.72896146774292,0.027777777777777776,0.3244548661215328,0.00029539998654902434
7,0.96532341837883,0.19340463458110516,0.5271306783817915,3.5711612701416016,0.027777777777777776,0.3068181818181818,0.00029339262969984594
8,1.1710468530654907,0.19894179894179895,0.5001845856926267,4.581333637237549,0.027777777777777776,0.3068181818181818,0.00029103335757712243
9,0.9076223969459534,0.32229344729344733,0.6021895154825263,5.387590408325195,0.027777777777777776,0.33459595959595956,0.0002883286367817514
10,0.7905736565589905,0.23611111111111108,0.6608188325835385,5.754367351531982,0.027777777777777776,0.3068181818181818,0.0002852858807654299
11,0.8974005281925201,0.2763772175536881,0.5005247070019072,5.716342449188232,0.027777777777777776,0.38062770562770565,0.00028191342951089957
