file_path,filename,original_filename,segment_index,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg1,KP001_WWS.wav,0,-441.98048961918767,142.00833420447333,71.16183833337179,26.011631126292848,15.681932518364205,9.93530890972181,-2.8866104444712533,-9.574390263761593,-7.134499051372801,-7.414765904572686,-13.178989749709226,-16.27750868627578,-15.220416917904172
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg2,KP001_WWS.wav,1,-430.06140949591634,122.99228133906877,69.10710280522197,29.701848639093658,15.01408365901487,7.387410855861407,-2.5299971621318917,-8.155309122731062,-7.356437534590069,-7.605390028026894,-11.86440071865503,-15.249655220870261,-15.52346217443467
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg3,KP001_WWS.wav,2,-547.4963106217901,133.11549607763638,46.358710461773974,6.647628771162284,11.336584032839676,7.433481359059365,-11.136007062682284,-14.623797210372123,-4.4475182111803235,-4.472856743632541,-13.087135436105076,-13.67592210239099,-9.670324546864874
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg1,KP011_WWS.wav,0,-391.7159445616132,226.7661433747352,28.00582536185184,-37.16199772625877,7.222814535206514,16.200871413929548,-19.63950795103096,-22.089726295363306,1.086518141645619,-4.32141065790058,-22.90207679506364,-16.717573048882088,-5.245981687093838
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg2,KP011_WWS.wav,1,-394.6120796755436,236.98561751421767,26.901224182334783,-39.54410746928192,9.39694949852414,18.079396465894916,-21.161808502210405,-23.100709308176725,2.249144612980274,-4.147281425579955,-24.30166011280039,-17.130538875930508,-4.785073651426511
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg3,KP011_WWS.wav,2,-358.1364805469052,193.18522578996746,32.793690906483654,-26.70840589564364,3.6348282349528938,12.452729229533814,-14.857007880692166,-19.47208695385179,-1.8916357527775436,-3.877751072319088,-18.784240102419794,-16.562596253225333,-7.284175658147961
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg1,WEBSS-005 TP6_seg-1.wav,0,-354.35557516888275,192.8349723255901,66.8294483331953,-1.5944189419389316,-1.3735608293195618,1.4032336665670264,-16.691490316710777,-25.46600309280728,-15.208859934536473,-8.506967810648943,-13.064531791287843,-15.71776117914783,-13.543375550264715
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg2,WEBSS-005 TP6_seg-1.wav,1,-368.41837921385445,186.62832765862407,61.6153997270636,-4.650688088102021,-2.3173216350544776,1.9753342578171473,-15.128275415201108,-23.112310011866423,-12.323925392110205,-5.832217506425882,-11.383863906041762,-15.141862551224609,-13.513353776918944
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg3,WEBSS-005 TP6_seg-1.wav,2,-361.25306891206753,204.90875893869446,59.09629170601172,-11.526025333596095,-1.793097105435817,3.8858538798086113,-17.843791619396285,-26.215881929674477,-13.035411621311276,-7.824161423699806,-15.146199017606905,-16.366449018476004,-12.07010491151204
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS_seg1,KP008_WWS.wav,0,-381.36458162058364,184.95683514198214,47.427561044068064,-3.7099703650141405,17.110331689214355,15.653698841507376,-11.921482056609735,-13.63723428574477,1.7755702798996718,-4.220923217781772,-19.380169458325973,-16.226523592084018,-9.338229227188696
