fold,epochs,macro_recall_raw,macro_recall_tau,nb_precision_tau,weighted_score_tau,per_class_recall_raw,per_class_recall_tau,temps,taus,class_names,n_train,n_val,recall_floors,class_weights_score
1,60,0.2626418026315655,0.4791142225265503,0.7959183673306957,0.0750875174999237,"[0.3846153845857988, 0.15384615383431952, 0.6111111111043209, 0.0, 0.16363636363338843]","[0.6153846383094788, 0.692307710647583, 0.4333333373069763, 0.0, 0.6545454263687134]","[2.5, 2.75, 2.5, 3.0, 0.5]","[0.8500000238418579, 0.7599999904632568, 1.0, 1.1200000047683716, 0.9399999976158142]","[""Crackle"", ""Healthy"", ""Non-breathing"", ""Rhonchi"", ""Wheezing""]",555,171,"[0.30000001192092896, 0.30000001192092896, 0.4000000059604645, 0.30000001192092896, 0.30000001192092896]","[0.7444807291030884, 2.070586919784546, 0.22160127758979797, 0.9889370799064636, 0.974393904209137]"
2,60,0.4186249044851499,0.4875324606895447,0.9999999999642857,-0.2828819751739502,"[0.941176470532872, 0.6428571428112245, 0.5090909090816529, 0.0, 0.0]","[1.0, 0.9285714030265808, 0.5090909004211426, 0.0, 0.0]","[2.75, 0.5, 1.0, 1.0, 1.0]","[0.6700000166893005, 1.1200000047683716, 0.8500000238418579, 1.0, 1.0]","[""Crackle"", ""Healthy"", ""Non-breathing"", ""Rhonchi"", ""Wheezing""]",640,86,"[0.30000001192092896, 0.30000001192092896, 0.4000000059604645, 0.30000001192092896, 0.30000001192092896]","[0.839469850063324, 2.301772117614746, 0.2136375457048416, 1.0649991035461426, 0.5801213979721069]"
3,60,0.15196969696693566,0.4718939423561096,0.9428571428302042,0.14498218894004822,"[0.0681818181802686, 0.0, 0.6249999999921875, 0.0, 0.06666666666222222]","[0.6136363744735718, 1.0, 0.4124999940395355, 0.0, 0.3333333432674408]","[1.75, 0.75, 0.5, 1.75, 2.75]","[0.4000000059604645, 0.4000000059604645, 1.3899999856948853, 1.0, 0.5799999833106995]","[""Crackle"", ""Healthy"", ""Non-breathing"", ""Rhonchi"", ""Wheezing""]",577,149,"[0.30000001192092896, 0.30000001192092896, 0.4000000059604645, 0.30000001192092896, 0.30000001192092896]","[1.1771481037139893, 1.9507026672363281, 0.22095337510108948, 1.0190237760543823, 0.632172167301178]"
4,60,0.34644040495545614,0.46778844594955443,0.8823529411591696,0.29893533885478973,"[0.49999999996428574, 0.124999999984375, 0.5609756097492564, 0.1499999999925, 0.3962264150868637]","[0.8571428656578064, 0.25, 0.5487805008888245, 0.4000000059604645, 0.2830188572406769]","[0.75, 1.5, 1.0, 0.5, 2.75]","[1.0, 1.0, 1.0299999713897705, 2.0199999809265137, 1.0]","[""Crackle"", ""Healthy"", ""Non-breathing"", ""Rhonchi"", ""Wheezing""]",549,177,"[0.30000001192092896, 0.30000001192092896, 0.4000000059604645, 0.30000001192092896, 0.30000001192092896]","[0.7358886003494263, 1.7502214908599854, 0.2109387367963791, 1.3778338432312012, 0.9251170754432678]"
5,60,0.19810215730625585,0.30814737677574155,0.6599999999868,-0.4903312027454376,"[0.35714285711734695, 0.0, 0.3780487804831945, 0.2553191489307379, 0.0]","[0.5, 0.0, 0.40243902802467346, 0.6382978558540344, 0.0]","[3.0, 2.5, 2.5, 0.5, 1.5]","[0.9399999976158142, 1.3899999856948853, 0.9399999976158142, 1.0, 1.5700000524520874]","[""Crackle"", ""Healthy"", ""Non-breathing"", ""Rhonchi"", ""Wheezing""]",583,143,"[0.30000001192092896, 0.30000001192092896, 0.4000000059604645, 0.30000001192092896, 0.30000001192092896]","[0.5982544422149658, 1.169919729232788, 0.17148660123348236, 2.632319450378418, 0.4280194044113159]"
