Representation,Best_Algorithm,A0_Silhouette,A1_Silhouette,Improvement,Improvement_Pct
Raw Waveform Stats,K4,0.2720715636857464,0.38587867577522317,0.11380711208947675,41.829844526099954
Logmel Mean,K3,0.3172279967429375,0.41092652110180755,0.09369852435887005,29.536650396843033
Mfcc Mean,K3,0.3173935986336722,0.35043694318533886,0.03304334455166663,10.410841521036609
