Representation,Algorithm,A0_Silhouette,A1_Silhouette,Delta_Silhouette,A0_CH,A1_CH,Delta_CH,A0_DB,A1_DB,Delta_DB,A0_Clusters,A1_Clusters
Raw Waveform Stats,K3,0.3399997271876021,0.3086750368312278,-0.03132469035637425,23.41379721086318,19.34328917593649,-4.070508034926689,0.8050685320115313,1.0382144565908995,0.23314592457936822,3,3
Raw Waveform Stats,K4,0.2720715636857464,0.38587867577522317,0.11380711208947675,27.175168709078342,25.808126264321928,-1.3670424447564145,0.721647850906854,0.5985942501517696,-0.12305360075508442,4,4
Raw Waveform Stats,K5,0.30945934130024416,0.31935785296933167,0.009898511669087506,28.969248507385345,29.508791864689734,0.5395433573043888,0.6875718643113616,0.6885172385467736,0.0009453742354119665,5,5
Logmel Mean,K3,0.3172279967429375,0.41092652110180755,0.09369852435887005,23.877451126678356,32.98059707183465,9.103145945156296,1.0849741415029754,0.7017354395029605,-0.383238702000015,3,3
Logmel Mean,K4,0.34019623894349155,0.3317007281140325,-0.008495510829459041,24.69187380533937,33.540661590686874,8.848787785347504,0.9545972435157766,0.804038103332641,-0.15055914018313554,4,4
Logmel Mean,K5,0.3368607102491736,0.3503320453261261,0.013471335076952529,24.494268313933233,36.79717588427188,12.302907570338647,0.9794804468474558,0.8844601426574027,-0.09502030419005314,5,5
Mfcc Mean,K3,0.3173935986336722,0.35043694318533886,0.03304334455166663,18.051867127496873,20.369920296831218,2.3180531693343447,1.2596077418091074,1.0717516253583217,-0.1878561164507857,3,3
Mfcc Mean,K4,0.3074351317643139,0.31420868919160266,0.0067735574272887455,16.508696433497274,17.519144087315798,1.0104476538185239,1.1511117218403566,1.2580371404935438,0.10692541865318717,4,4
Mfcc Mean,K5,0.30303843491087784,0.2790905354338399,-0.02394789947703796,16.12566310281855,15.20239492605664,-0.9232681767619102,0.9946823116954782,1.1623047634198127,0.16762245172433454,5,5
