phase,epoch,train_loss,train_f1,train_ap,val_loss,val_f1,val_ap,lr
LP,1,1.1255824565887451,0.41876750700280113,0.5332975711652183,1.0951884984970093,0.19047619047619047,0.611111111111111,0.001
LP,2,1.057640790939331,0.37566137566137564,0.5489040060468632,1.092295527458191,0.35555555555555557,0.6388888888888888,0.001
LP,3,1.0305750370025635,0.4000000000000001,0.5382129006312013,1.079006314277649,0.35555555555555557,0.7222222222222222,0.001
LP,4,0.9970120787620544,0.4225589225589226,0.5905840720126434,1.0668587684631348,0.35555555555555557,0.9444444444444443,0.001
LP,5,0.9565249085426331,0.2913165266106443,0.6849775224775225,1.05423903465271,0.611111111111111,0.9444444444444443,0.001
FT,1,1.1079694032669067,0.2657952069716776,0.5740674603174604,1.0589276552200317,0.35555555555555557,0.7777777777777777,0.0001
FT,2,0.9616292715072632,0.18888888888888888,0.5843082469001587,1.0648198127746582,0.35555555555555557,0.7222222222222222,9.97534852915723e-05
FT,3,0.8978992104530334,0.39999999999999997,0.7142032570603999,1.071482539176941,0.16666666666666666,0.5555555555555555,9.901664203302126e-05
FT,4,0.832984209060669,0.5584415584415584,0.668638100582545,1.074693202972412,0.16666666666666666,0.5388888888888889,9.779754323328192e-05
FT,5,0.9252178072929382,0.47015250544662307,0.7646296296296297,1.071663737297058,0.16666666666666666,0.5388888888888889,9.610954559391703e-05
FT,6,0.8482550978660583,0.4333333333333333,0.8230719897386564,1.0715147256851196,0.3333333333333333,0.5388888888888889,9.397114317029975e-05
FT,7,0.7651060819625854,0.7076923076923078,0.725925925925926,1.062275767326355,0.3333333333333333,0.5388888888888889,9.140576474687265e-05
FT,8,0.8017587065696716,0.625,0.9250836024645549,1.0536428689956665,0.43333333333333335,0.5944444444444444,8.844151714648274e-05
