phase,epoch,train_loss,train_f1,train_ap,val_loss,val_f1,val_ap,lr
LP,1,0.7217573523521423,0.391304347826087,0.6118383468383469,0.7619759440422058,0.16666666666666666,0.5194444444444445,0.001
LP,2,0.680442214012146,0.7142857142857143,0.6702859177859178,0.7928844094276428,0.16666666666666666,0.45,0.001
LP,3,0.6461436748504639,0.5625,0.8573412698412699,0.8466429114341736,0.0,0.4013888888888889,0.001
LP,4,0.6074060201644897,0.7846153846153847,0.9063668430335098,0.9116427898406982,0.0,0.4013888888888889,0.001
LP,5,0.5857195854187012,0.8444444444444444,0.9597001763668431,0.982566773891449,0.16666666666666666,0.4013888888888889,0.001
FT,1,0.709610641002655,0.5714285714285714,0.5297435897435898,0.8460307121276855,0.16666666666666666,0.4013888888888889,0.0001
FT,2,0.6106964945793152,0.825,0.901010101010101,0.9155558943748474,0.16666666666666666,0.4013888888888889,9.97534852915723e-05
FT,3,0.6118867993354797,0.7142857142857142,0.9044007535674203,0.9795506596565247,0.16666666666666666,0.4013888888888889,9.901664203302126e-05
FT,4,0.5779860019683838,0.7142857142857142,0.9532323232323232,1.0274709463119507,0.16666666666666666,0.4013888888888889,9.779754323328192e-05
FT,5,0.46530404686927795,1.0,1.0,1.0787557363510132,0.16666666666666666,0.4013888888888889,9.610954559391703e-05
FT,6,0.3861055076122284,0.9251336898395721,1.0,1.1457412242889404,0.0,0.4013888888888889,9.397114317029975e-05
FT,7,0.36567234992980957,0.8541666666666667,1.0,1.2304978370666504,0.0,0.4013888888888889,9.140576474687265e-05
FT,8,0.350208044052124,0.9251336898395721,0.9777777777777779,1.329408884048462,0.0,0.4013888888888889,8.844151714648274e-05
