epoch,loss,val_macro_recall_raw,per_class_recall_raw
1,1.643083268536916,0.09708651493425921,"[0.21428571427040816, 0.0, 0.20731707316820344, 0.06382978723268448, 0.0]"
2,1.4691532756206716,0.12595448142412147,"[0.2857142856938775, 0.0, 0.19512195121713266, 0.14893617020959712, 0.0]"
3,1.3599060405793362,0.10860701311763074,"[0.21428571427040816, 0.0, 0.1585365853639203, 0.17021276595382528, 0.0]"
4,1.287671574393022,0.13048409814795872,"[0.35714285711734695, 0.0, 0.14634146341284948, 0.14893617020959712, 0.0]"
5,1.2341764958808599,0.12866780338932723,"[0.35714285711734695, 0.0, 0.1585365853639203, 0.12765957446536896, 0.0]"
6,1.1925679116060968,0.1168211134948475,"[0.2857142856938775, 0.0, 0.17073170731499107, 0.12765957446536896, 0.0]"
7,1.159176728124275,0.11012676995578771,"[0.2857142856938775, 0.0, 0.1585365853639203, 0.10638297872114079, 0.0]"
8,1.1343802616485805,0.11012676995578771,"[0.2857142856938775, 0.0, 0.1585365853639203, 0.10638297872114079, 0.0]"
9,1.1124514568322315,0.11256579434600186,"[0.2857142856938775, 0.0, 0.17073170731499107, 0.10638297872114079, 0.0]"
10,1.0927254574989986,0.11500481873621604,"[0.2857142856938775, 0.0, 0.18292682926606185, 0.10638297872114079, 0.0]"
11,1.0766530237312382,0.09828008006130799,"[0.21428571427040816, 0.0, 0.17073170731499107, 0.10638297872114079, 0.0]"
12,1.061395141109185,0.09828008006130799,"[0.21428571427040816, 0.0, 0.17073170731499107, 0.10638297872114079, 0.0]"
13,1.0480539471575572,0.09340203128087968,"[0.21428571427040816, 0.0, 0.14634146341284948, 0.10638297872114079, 0.0]"
14,1.0361531666171695,0.08914671213203405,"[0.21428571427040816, 0.0, 0.14634146341284948, 0.08510638297691264, 0.0]"
15,1.024965463024061,0.09402476091246237,"[0.21428571427040816, 0.0, 0.17073170731499107, 0.08510638297691264, 0.0]"
16,1.014774988077926,0.09402476091246237,"[0.21428571427040816, 0.0, 0.17073170731499107, 0.08510638297691264, 0.0]"
17,1.0052689718750287,0.0989028096928907,"[0.21428571427040816, 0.0, 0.19512195121713266, 0.08510638297691264, 0.0]"
18,0.9960835284679668,0.10134183408310485,"[0.21428571427040816, 0.0, 0.20731707316820344, 0.08510638297691264, 0.0]"
19,0.9876108726751743,0.11806657275801287,"[0.2857142856938775, 0.0, 0.21951219511927422, 0.08510638297691264, 0.0]"
20,0.978726696906736,0.12050559714822703,"[0.2857142856938775, 0.0, 0.23170731707034503, 0.08510638297691264, 0.0]"
21,0.9719855360060572,0.12050559714822703,"[0.2857142856938775, 0.0, 0.23170731707034503, 0.08510638297691264, 0.0]"
22,0.9647039865138805,0.12294462153844118,"[0.2857142856938775, 0.0, 0.2439024390214158, 0.08510638297691264, 0.0]"
